submission_pk,User,b'f1_mean',b'f1_case',b'f1_diso',b'f1_iscb',b'f1_rpkg',b'f1_scip',b'f1_secret'
493376,Yuning_Ding_1,0.813 (1),0.808 (1),0.820 (1),0.811 (1),0.825 (1),0.825 (1),0.788 (1),
493659,yii,0.406 (2),0.420 (2),0.396 (2),0.424 (2),0.413 (2),0.357 (2),0.425 (2),
480152,pakapro,0.157 (3),0.164 (3),0.179 (3),0.142 (3),0.160 (3),0.139 (3),0.161 (3),
