submission_pk,User,b'AP (total)',b'AR (total)',b'AP (PL)',b'AR (PL)',b'AP (CR)',b'AR (CR)',b'AP (CS)',b'AR (CS)',b'AP (HW)',b'AR (HW)'
33044,yzwang,77.4 (1),80.8 (2),95.5 (4),96.4 (4),75.3 (1),78.4 (1),66.1 (1),71.7 (5),68.0 (5),72.2 (5),
428529,anikeola,74.3 (2),81.8 (1),95.7 (3),96.7 (3),70.0 (2),76.5 (2),53.7 (4),72.2 (4),74.6 (1),76.5 (1),
490273,m1105511,72.3 (3),80.6 (3),94.2 (6),95.4 (6),69.1 (3),74.9 (3),52.3 (6),72.8 (3),70.5 (2),73.6 (3),
266441,testingrodnet,72.2 (4),80.4 (4),96.8 (2),97.8 (2),57.4 (8),64.0 (8),54.0 (3),75.7 (1),69.5 (3),73.1 (4),
340831,Yahi,70.6 (5),77.7 (7),97.1 (1),97.8 (1),62.9 (6),73.0 (5),51.6 (7),68.2 (9),62.9 (9),64.8 (9),
394778,light_zwc,70.2 (6),77.0 (8),93.0 (7),94.7 (7),65.9 (4),70.0 (6),52.8 (5),68.4 (8),64.1 (8),68.2 (8),
102504,wddr955,68.0 (7),77.7 (6),88.9 (8),91.8 (8),54.1 (9),60.6 (9),54.8 (2),73.9 (2),66.4 (7),74.3 (2),
92323,sunzhelin,67.8 (8),76.3 (9),87.1 (9),90.2 (9),60.9 (7),68.2 (7),50.6 (8),68.9 (7),68.7 (4),71.6 (6),
251821,rodnet_evaluation,66.9 (9),78.8 (5),94.2 (5),95.6 (5),63.6 (5),74.1 (4),43.7 (9),69.1 (6),67.8 (6),70.8 (7),
428540,ridwan,8.4 (10),18.1 (10),28.7 (10),47.1 (10),6.8 (10),19.4 (10),0.0 (10),0.0 (10),0.0 (10),0.0 (10),
