submission_pk,User,b'Prediction score',b'Duration'
412170,bayesiano98,0.8847 (1),- (-),
410530,carfer,0.8432 (2),- (-),
410693,JoseAGD,0.8421 (3),- (-),
405280,homomex23,0.8390 (4),- (-),
407335,Cordyceps,0.8354 (5),- (-),
412286,moranoroman,0.8325 (6),- (-),
411193,UTB_NLP,0.8208 (7),- (-),
410358,mgraffg,0.8050 (8),- (-),
410699,Mesay,0.7967 (9),- (-),
412557,cesar_m,0.7635 (10),- (-),
412042,moeintash,0.7326 (11),- (-),
406959,pakapro,- (12),- (-),
