submission_pk,User,b'DER'
340850,augnito_speech,36.9 (1),
346444,AUDIAS-UAM,39.4 (2),
345636,Intema,40.2 (3),
346883,BIIClab,41.1 (4),
344209,BASELINES,41.5 (5),
345692,gintautas_VU,42.9 (6),
346794,SpeechGroupIITDH,60.4 (7),
