submission_pk,User,b'pRR',b'exact_match',b'f1'
73323,AlyMostafa2000,0.669 (1),0.450 (1),0.665 (1),
69859,Mohammed_ElKomy,0.643 (2),0.413 (2),0.613 (2),
68841,qatask.team,0.630 (3),0.367 (3),0.595 (3),
73412,damith.premasiri,0.555 (4),0.339 (4),0.540 (4),
73144,phdcsf20m501,0.541 (5),0.321 (5),0.501 (5),
67528,ahmedwasfey,0.523 (6),0.110 (8),0.494 (6),
69831,elsayedissa,0.465 (7),0.303 (6),0.465 (7),
73339,AbdullahAlsaleh,0.414 (8),0.220 (7),0.414 (8),
60129,watheq9,0.247 (9),0.009 (10),0.247 (9),
73264,Abdelrahman_Rezk,0.240 (10),0.092 (9),0.195 (10),
