submission_pk,User,SLS,SLS,SLS,Overall (%),Overall (%),Overall (%),Unseen (%),Unseen (%),Unseen (%),Tail (%),Tail (%),Tail (%)
,b'PT',b'TL',b'TD',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action'
205114,latent,3.0 (2),23.75 (1),23.49 (1),18.11 (1),,,,,,,,,,,,,
128805,hrgdscs,3.0 (2),20.43 (2),18.27 (2),17.11 (2),,,,,,,,,,,,,
127990,corcovadoming,4.0 (1),19.61 (3),16.41 (3),16.63 (4),,,,,,,,,,,,,
128759,shawn0822,4.0 (1),19.53 (4),15.85 (5),16.87 (3),,,,,,,,,,,,,
124376,PCO-PSNRD,3.0 (2),18.68 (5),16.32 (4),16.14 (5),,,,,,,,,,,,,
19814,allenxuuu,4.0 (1),17.35 (6),14.14 (6),14.30 (7),,,,,,,,,,,,,
19815,Shawn0822-ICL-SJTU,3.0 (2),17.02 (7),12.84 (8),15.56 (6),,,,,,,,,,,,,
19816,shef-AVT-FB-UT,4.0 (1),16.74 (8),12.89 (7),13.81 (8),,,,,,,,,,,,,
126658,richard61,4.0 (1),16.68 (9),12.42 (11),13.80 (10),,,,,,,,,,,,,
128861,Zeyun-Zhong,3.0 (2),16.65 (10),12.63 (10),13.80 (9),,,,,,,,,,,,,
16921,AVT-FB-UT,4.0 (1),16.53 (11),12.79 (9),13.62 (11),,,,,,,,,,,,,
226345,zhh6,4.0 (1),15.87 (12),11.70 (12),12.92 (12),,,,,,,,,,,,,
16905,Panasonic-CNSIC-PSNRD,3.0 (2),14.82 (13),10.21 (15),12.69 (13),,,,,,,,,,,,,
16923,ICL-SJTU,3.0 (2),13.39 (14),10.05 (16),11.88 (14),,,,,,,,,,,,,
16903,NUS-CVML,3.0 (2),12.55 (15),10.46 (13),8.85 (15),,,,,,,,,,,,,
230812,qzhb,3.0 (2),11.64 (16),10.25 (14),8.42 (16),,,,,,,,,,,,,
16896,RULSTM-FUSION,3.0 (2),11.19 (17),9.65 (17),7.92 (17),,,,,,,,,,,,,
16892,EPIC-CHANCE-BASELINE,3.0 (2),0.14 (18),0.31 (18),0.03 (18),,,,,,,,,,,,,
