submission_pk,User,b'Prediction score',b'Duration'
63884,qian-long,0.0000 (1),0.00 (1),
74734,JoyFang,0.0000 (1),0.00 (2),
75090,jiachenlei,0.0000 (1),0.00 (3),
73479,chinatelecom_cv,0.0000 (1),0.00 (4),
74766,leobryan,0.0000 (1),0.00 (5),
63619,bob_peng,0.0000 (1),0.00 (6),
