submission_pk,User,b'nDCG@20 (test set)',b'MAP (test set)',b'Precision@20 (test set)',b'MRR@100 (test set)',b'MRR@100 (validation set)'
190124,BingChilling,0.2978 (1),0.2268 (1),0.1273 (1),0.3288 (1),0.2460 (1),
191804,Explorers,0.1583 (2),0.1019 (2),0.0916 (2),0.1963 (2),0.0134 (5),
191481,new_google,0.1073 (3),0.0621 (3),0.0649 (3),0.1331 (3),0.1071 (2),
191485,team_turkey,0.0944 (4),0.0554 (4),0.0578 (4),0.1009 (4),0.0726 (3),
191547,Zoekmachinerds,0.0049 (5),0.0004 (6),0.0045 (6),0.0267 (5),0.0193 (4),
189272,uva_zoekmachines,0.0042 (6),0.0012 (5),0.0055 (5),0.0094 (6),0.0027 (6),
