submission_pk,User,b'Micro_F1',b'Micro_Precision',b'Micro_Recall',b'Macro_F1',b'Macro_Precision',b'Macro_Recall'
438732,bys0318,69.33 (1),67.80 (2),70.92 (3),62.20 (1),63.17 (3),64.76 (1),
440884,dbw22,67.52 (14),65.11 (15),70.11 (11),61.12 (2),61.65 (4),63.12 (2),
427060,Raincleared_Sunny,68.49 (7),67.39 (4),69.62 (14),60.58 (3),63.94 (1),61.48 (5),
177608,yaofeng,68.64 (4),66.20 (13),71.28 (2),59.33 (4),60.84 (7),61.02 (6),
440265,Zhiyuanli,68.68 (3),66.85 (7),70.62 (6),59.11 (5),61.39 (5),60.11 (7),
437798,cuijm22,66.83 (16),67.75 (3),65.94 (17),58.82 (6),63.91 (2),57.70 (14),
437580,Xinyi_Li,66.61 (17),63.41 (17),70.14 (10),58.73 (7),58.35 (18),63.08 (3),
430010,Ricky_W,67.21 (15),62.68 (21),72.43 (1),58.37 (8),57.21 (22),62.49 (4),
483533,Adler,63.93 (18),62.46 (22),65.46 (18),57.72 (9),59.43 (10),58.18 (12),
332937,jwuwuwu,68.48 (8),66.50 (11),70.59 (7),57.45 (10),58.74 (15),58.67 (9),
457755,wzc,68.40 (9),66.52 (10),70.38 (8),57.24 (11),59.55 (9),58.24 (11),
461395,chaser,68.14 (11),66.86 (6),69.48 (15),57.22 (12),60.44 (8),57.44 (16),
123960,bdu,68.51 (6),66.77 (9),70.33 (9),57.18 (13),59.07 (11),58.00 (13),
196741,HereHello,68.14 (12),66.36 (12),70.01 (12),57.04 (14),58.24 (19),58.58 (10),
437803,jianhuichen,68.77 (2),66.78 (8),70.88 (4),56.96 (15),58.90 (12),58.87 (8),
185090,jamesen.chesky,68.34 (10),66.14 (14),70.68 (5),56.39 (16),57.64 (21),57.59 (15),
440844,Nipers,68.01 (13),68.97 (1),67.07 (16),55.99 (17),61.27 (6),54.46 (18),
93554,Wesley,68.54 (5),67.23 (5),69.91 (13),55.87 (18),58.77 (14),56.56 (17),
428110,Zheyuan22,63.69 (22),62.97 (19),64.43 (20),54.24 (19),58.77 (13),53.63 (21),
439752,mcnugget,63.74 (20),62.97 (20),64.53 (19),54.20 (20),58.70 (16),53.71 (20),
426043,zhengz22,63.74 (20),62.97 (20),64.53 (19),54.20 (20),58.70 (16),53.71 (20),
426768,thuzyh18,63.69 (21),63.05 (18),64.35 (21),53.99 (21),58.18 (20),53.39 (22),
432753,LauraLuo,63.81 (19),63.73 (16),63.88 (22),53.85 (22),58.54 (17),52.87 (23),
404342,akm315,54.20 (24),53.18 (24),55.26 (25),48.64 (23),50.25 (24),52.58 (24),
401498,mascara,53.91 (25),52.24 (25),55.69 (24),48.09 (24),48.62 (25),53.80 (19),
425888,tsq2000,58.68 (23),60.68 (23),56.81 (23),42.15 (25),53.32 (23),39.93 (25),
423621,star_David,0.32 (26),0.32 (26),0.31 (26),0.10 (26),0.10 (26),0.10 (26),
