submission_pk,User,b'mAP'
84865,zhangzh7200,0.6668 (1),
92289,Robert,0.6121 (2),
137085,ilgiogio,0.5687 (3),
109288,ru_willow,0.4962 (4),
85205,Rich_Li,0.4924 (5),
34466,VGilet,0.4915 (6),
84913,SoleMiao,0.4297 (7),
36036,UAFelix,0.4117 (8),
17578,Dr.Zine,0.4081 (9),
97881,tsantos,0.3441 (10),
17516,aahmad,0.2766 (11),
32897,Jean,0.2451 (12),
32580,Aminata,0.2448 (13),
33367,ThomasFaure,0.2439 (14),
35599,Fichato,0.2432 (15),
34428,julienUA,0.2334 (16),
33301,lswie,0.2334 (16),
105255,kancharlavamshi,0.1678 (17),
21058,gy7777,0.0970 (18),
20988,gy77,0.0536 (19),
17585,a_ahmd,0.0455 (20),
