submission_pk,User,b'F1',b'precision_score',b'recall_score'
311189,jzy,0.853 (1),0.811 (3),0.898 (3),
310393,zhaoxf4,0.842 (2),0.816 (1),0.871 (7),
308520,huawei_zhangmin,0.842 (3),0.809 (4),0.877 (6),
305197,tanliandeshaonv,0.841 (4),0.807 (5),0.879 (5),
305604,svassileva,0.827 (5),0.779 (13),0.881 (4),
310710,jvladika,0.818 (6),0.772 (15),0.868 (8),
308853,cpic_h,0.810 (7),0.789 (10),0.833 (10),
308841,matter,0.809 (8),0.779 (12),0.841 (9),
302973,ashton,0.806 (9),0.802 (7),0.811 (12),
307302,robertbevan,0.804 (10),0.814 (2),0.795 (16),
309721,rr2000,0.802 (11),0.797 (8),0.807 (13),
311440,erictien,0.794 (12),0.803 (6),0.786 (19),
291639,csyantins,0.793 (13),0.781 (11),0.804 (14),
311003,sraja,0.787 (14),0.777 (14),0.797 (15),
301454,aten,0.769 (15),0.762 (16),0.775 (20),
305453,topology,0.763 (16),0.714 (18),0.819 (11),
309840,alistvt,0.757 (17),0.725 (17),0.791 (17),
308381,robvanderg,0.756 (18),0.792 (9),0.723 (22),
311046,rm_ittc,0.719 (19),0.579 (21),0.948 (2),
302632,Charin,0.716 (20),0.558 (22),1.000 (1),
310022,abelcorreadias,0.681 (21),0.615 (19),0.764 (21),
307510,marianaln,0.671 (22),0.583 (20),0.789 (18),
309312,SheerinSitaraNoorMohamed,0.572 (23),0.542 (23),0.606 (23),
