submission_pk,User,b'AP IoU=.50',b'AP IoU=.25',b'AP IoU=.75'
429494,samuel21119,0.777 (1),0.841 (1),0.225 (2),
429499,Howardkhh,0.777 (1),0.841 (1),0.225 (2),
429495,AndreaHsu76,0.777 (1),0.841 (1),0.225 (2),
429502,vic1113,0.777 (1),0.841 (1),0.225 (2),
429501,yucheng1212,0.777 (1),0.841 (1),0.225 (2),
426279,muyishen2040,0.777 (1),0.841 (1),0.225 (2),
429486,Samuel2,0.776 (2),0.840 (2),0.226 (1),
423993,amniku,0.740 (3),0.795 (5),0.145 (6),
427623,liangguang,0.740 (3),0.803 (4),0.175 (4),
494299,sgm,0.736 (4),0.826 (3),0.185 (3),
427159,Meteor_elf,0.691 (5),0.775 (6),0.168 (5),
430807,dishant_mewada,0.609 (6),0.686 (7),0.140 (7),
426713,SyusukeYasui,0.498 (7),0.594 (8),0.100 (8),
