submission_pk,User,b'Score',b'Agent computation time'
477706,an39,48.73 (1),2309.01 (5),
472208,Chan_Sin,39.12 (2),1057.93 (4),
478693,ejperez,0.00 (3),1.03 (1),
474074,ggallardo,0.00 (3),1.06 (2),
463784,alirajaei95,0.00 (3),1.88 (3),
