submission_pk,User,b'Accuracy'
127675,USTC-IAT-United,89.83 (1),
127240,BiBiKo,76.24 (2),
122108,lnyang,70.55 (3),
76621,sislab,70.49 (4),
106606,u7355608,0.69 (5),
