submission_pk,User,b'Prediction score',b'Duration'
111945,Thousandwords,0.1149 (1),0.00 (1),
111270,badhandas,0.0458 (3),0.00 (1),
110457,angelvillar96,0.0382 (5),0.00 (1),
108222,odor-baseline,0.0399 (4),0.00 (1),
107493,kschultka,0.0752 (2),0.00 (1),
