submission_pk,User,b'Accuracy',b'F1',b'Bleu_1',b'Bleu_2',b'Bleu_3',b'Bleu_4',b'Rouge_L',b'CIDEr',b'METEOR'
484227,yueqianwang,0.0000 (1),0.0000 (1),0.0573 (2),0.0199 (2),0.0090 (2),0.0048 (2),0.0534 (2),0.0743 (2),- (-),
452796,Devs,0.0000 (1),0.0000 (1),0.3114 (1),0.2980 (1),0.2940 (1),0.2925 (1),0.2920 (1),2.5770 (1),- (-),
450926,TerenceCai,0.0000 (1),0.0000 (1),0.0001 (3),0.0000 (3),0.0000 (3),0.0000 (3),0.0001 (3),0.0002 (3),- (-),
