submission_pk,User,b'F1',b'P',b'R'
486495,YanJiangJerry,0.90 (1),0.8571 (1),0.9474 (1),
478233,Xutong,0.89 (2),0.8308 (2),0.9474 (1),
478221,utmn,0.85 (3),0.7910 (3),0.9298 (2),
476777,nowhash,0.80 (4),0.7538 (4),0.8596 (3),
