submission_pk,User,b'MOTA',b'airplane',b'car',b'ship',b'train'
74838,renshengyong,0.7499 (1),1.0000 (1),0.9998 (1),1.0000 (1),0.0000 (1),
69182,root,0.7499 (1),1.0000 (1),0.9998 (1),1.0000 (1),0.0000 (1),
68606,zytx121,0.7499 (1),1.0000 (1),0.9998 (1),1.0000 (1),0.0000 (1),
88380,lingx,0.7007 (2),1.0000 (1),0.9873 (2),0.8154 (4),0.0000 (1),
87919,xixiha,0.5138 (3),0.7419 (2),0.3215 (4),0.9917 (2),0.0000 (1),
80908,cvpx,0.4306 (4),0.6935 (3),0.4998 (3),0.5289 (5),0.0000 (1),
80431,zf020114,0.4306 (4),0.6935 (3),0.4998 (3),0.5289 (5),0.0000 (1),
79719,kpp,0.4306 (4),0.6935 (3),0.4998 (3),0.5289 (5),0.0000 (1),
85293,whu_cccccsd,0.3601 (5),0.3710 (6),0.1548 (7),0.9146 (3),0.0000 (1),
87710,AndrewGuo,0.1572 (6),0.6290 (5),0.0000 (11),0.0000 (6),0.0000 (1),
68594,huanmx,0.1127 (7),0.2419 (7),0.2088 (6),0.0000 (6),0.0000 (1),
81414,shan666,0.0610 (8),0.0000 (9),0.2438 (5),0.0000 (6),0.0000 (1),
84829,chenjw,-0.0059 (9),0.0161 (8),-0.0396 (12),0.0000 (6),0.0000 (1),
82164,XC_00,-0.0559 (10),0.0000 (9),-0.2234 (14),0.0000 (6),0.0000 (1),
77716,qqq,-0.1568 (11),0.6613 (4),0.1440 (8),-1.4325 (7),0.0000 (1),
88281,sq118666,-1.2284 (12),-1.1774 (10),-0.0667 (13),-3.6694 (8),0.0000 (1),
85725,lwx,-2.9462 (13),-11.8710 (11),0.0864 (9),0.0000 (6),0.0000 (1),
88563,DonDominic,-4.0939 (14),-16.4194 (12),0.0436 (10),0.0000 (6),0.0000 (1),
