submission_pk,User,b'COMET',b'BLEU',b'ROUGE-L-F1'
175696,sahilmanchanda,0.4426 (1),38.1227 (2),0.6286 (1),
176653,Lifeng.Han,0.4237 (2),38.1778 (1),0.6271 (2),
submission_pk,User,b'COMET',b'BLEU',b'ROUGE-L-F1'
176653,Lifeng.Han,- (-),,,
175696,sahilmanchanda,- (-),,,
submission_pk,User,b'COMET',b'BLEU',b'ROUGE-L-F1'
176653,Lifeng.Han,- (-),,,
175696,sahilmanchanda,- (-),,,
