submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
467323,Hairuiwang,0.020 (1),3.985 (2),0.128 (1),0.983 (1),2.929 (1),19.729 (1),0.006 (1),,,,,,,
466007,admarques,0.035 (3),4.293 (3),0.247 (2),0.977 (2),6.641 (2),20.993 (2),0.012 (2),,,,,,,
464597,KiwiYyy,0.031 (2),3.034 (1),0.262 (3),0.971 (3),7.999 (3),21.909 (3),0.013 (3),,,,,,,
464460,agaldran,0.062 (4),6.086 (4),0.440 (4),0.848 (4),20.529 (4),53.349 (4),0.035 (4),,,,,,,
submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
467323,Hairuiwang,0.013 (1),3.027 (1),0.022 (1),0.999 (1),0.702 (1),2.209 (1),0.002 (1),,,,,,,
464597,KiwiYyy,0.056 (2),7.345 (4),0.219 (2),0.923 (2),7.976 (2),23.349 (2),0.013 (2),,,,,,,
466007,admarques,0.070 (3),7.022 (2),0.274 (3),0.870 (3),10.000 (3),29.580 (3),0.017 (3),,,,,,,
464460,agaldran,0.107 (4),7.079 (3),0.340 (4),0.795 (4),20.807 (4),49.976 (4),0.036 (4),,,,,,,
submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
467323,Hairuiwang,0.032 (1),3.066 (1),0.061 (1),1.000 (1),0.230 (1),0.704 (1),0.002 (1),,,,,,,
464597,KiwiYyy,0.139 (2),13.314 (2),1.363 (2),0.926 (2),3.297 (2),10.960 (2),0.008 (2),,,,,,,
466007,admarques,0.182 (4),14.477 (3),1.953 (4),0.879 (3),5.332 (3),16.671 (3),0.021 (4),,,,,,,
464460,agaldran,0.157 (3),14.769 (4),1.719 (3),0.840 (4),5.953 (4),18.566 (4),0.014 (3),,,,,,,
submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
467323,Hairuiwang,0.019 (1),1.459 (1),0.026 (1),1.000 (1),0.095 (1),0.374 (1),0.002 (1),,,,,,,
464597,KiwiYyy,0.208 (3),10.341 (3),1.780 (3),0.813 (3),3.143 (2),10.589 (2),0.024 (2),,,,,,,
466007,admarques,0.257 (4),10.238 (2),1.590 (2),0.820 (2),3.712 (3),11.230 (3),0.078 (4),,,,,,,
464460,agaldran,0.172 (2),11.993 (4),2.061 (4),0.540 (4),4.960 (4),15.339 (4),0.057 (3),,,,,,,
