submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
493703,pakapro,2.2000 (2),0.4740 (1),0.4409 (2),0.4568 (2),0.4460 (3),-0.1072 (3),
491934,nitanshjain,1.4000 (3),0.4624 (2),0.4938 (1),0.4776 (1),0.5028 (2),0.0043 (1),
493810,kunwarv4,2.4000 (1),0.0000 (3),0.0000 (3),0.0000 (3),0.5085 (1),0.0000 (2),
