submission_pk,User,b'AUC score',b'Duration'
93567,OPDAI,0.9926 (1),0.01 (12),
93489,walk_at_zoo,0.9769 (2),0.00 (5),
90203,xiaoluohao,0.9633 (3),0.01 (17),
93072,guanjz,0.9559 (4),0.00 (9),
89702,xwj,0.9267 (5),0.00 (8),
93575,shuaigui,0.8952 (6),0.01 (15),
91563,HanChen,0.8865 (7),0.00 (4),
91958,Bryan,0.8836 (8),0.01 (13),
89330,wany,0.8637 (9),0.00 (1),
88432,mapooon,0.8515 (10),0.01 (18),
93902,UNILJ-FRI-LRV-FE-LSI,0.7447 (11),0.00 (10),
92302,leobryan,0.7417 (12),0.01 (16),
92931,jiachenlei,0.7364 (13),0.00 (6),
89352,Kolami,0.6636 (14),0.00 (2),
93555,scut_maple,0.6517 (15),0.01 (14),
90824,yzx835,0.6416 (16),0.00 (3),
84710,bob_peng,0.5051 (17),0.00 (7),
93297,JYL,0.4890 (18),0.01 (11),
