submission_pk,User,b'Accuracy (top-1)[%]',b'Score2',b'Score3',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
47200,Raghunath19,25.32 (1),25.32 (1),25.32 (1),-1.00 (1),-1.00 (3),-1.00 (3),
41437,Casian,24.94 (2),24.94 (2),24.94 (2),0.02 (5),1.00 (1),0.00 (2),
61256,sjy,24.29 (3),24.29 (3),24.29 (3),-1.00 (1),0.00 (2),-1.00 (3),
60206,xsourse,23.64 (4),23.64 (4),23.64 (4),-1.00 (1),-1.00 (3),-1.00 (3),
59095,SunshineMu,22.73 (5),22.73 (5),22.73 (5),-1.00 (1),-1.00 (3),-1.00 (3),
48466,jzsherlock,20.91 (6),20.91 (6),20.91 (6),0.01 (4),0.00 (2),0.00 (2),
61237,ltliu,19.35 (7),19.35 (7),19.35 (7),0.00 (2),0.00 (2),0.00 (2),
60348,kancharlavamshi,18.96 (8),18.96 (8),18.96 (8),-1.00 (1),-1.00 (3),-1.00 (3),
61221,avinash_nesac,17.40 (9),17.40 (9),17.40 (9),-1.00 (1),-1.00 (3),-1.00 (3),
59521,adityakane,17.27 (10),17.27 (10),17.27 (10),0.09 (6),1.00 (1),0.00 (2),
61270,NYCX,17.14 (11),17.14 (11),17.14 (11),0.02 (5),0.00 (2),0.00 (2),
60079,sumanth_udupa,15.65 (12),15.65 (12),15.65 (12),-1.00 (1),-1.00 (3),-1.00 (3),
50252,Caincdiy,13.90 (13),13.90 (13),13.90 (13),0.01 (3),0.00 (2),0.00 (2),
61392,neptune,13.77 (14),13.77 (14),13.77 (14),10.43 (7),0.00 (2),0.00 (2),
60933,SH,12.99 (15),12.99 (15),12.99 (15),-1.00 (1),-1.00 (3),-1.00 (3),
47495,slow126,12.45 (16),12.45 (16),12.45 (16),10.43 (7),1.00 (1),1.00 (1),
61476,Howie,10.13 (17),10.13 (17),10.13 (17),0.00 (2),0.00 (2),0.00 (2),
58833,MoonJian,6.36 (18),6.36 (18),6.36 (18),-1.00 (1),-1.00 (3),-1.00 (3),
61593,Marry,0.26 (19),0.26 (19),0.26 (19),0.00 (2),0.00 (2),0.00 (2),
61508,Levin,0.26 (19),0.26 (19),0.26 (19),0.00 (2),0.00 (2),0.00 (2),
61687,wujiekd,0.13 (20),0.13 (20),0.13 (20),0.00 (2),0.00 (2),0.00 (2),
61563,u7355608,0.13 (20),0.13 (20),0.13 (20),0.00 (2),0.00 (2),0.00 (2),
61590,try_first_try,0.00 (21),0.00 (21),0.00 (21),0.00 (2),0.00 (2),0.00 (2),
61532,hsansui,0.00 (21),0.00 (21),0.00 (21),0.00 (2),0.00 (2),0.00 (2),
