submission_pk,User,b'f-measure'
170035,vgangal,0.88 (1),
170083,ilker,0.87 (2),
169993,Wanderer,0.85 (3),
169963,liuyiyi,0.84 (4),
168653,vund,0.82 (5),
169693,peratham.bkk,0.82 (6),
167457,chitrank,0.81 (7),
170101,PaulTrust,0.79 (8),
169642,devika,0.74 (9),
170158,guneetsk99,0.72 (10),
169022,zhengxiang.wang,0.68 (11),
169594,stellestrellaj,0.67 (12),
170808,Karanjot-SV,0.66 (13),
