submission_pk,User,b'AP_50',b'mAP'
362003,tingliu,0.5060 (1),0.3350 (1),
362255,IPIU-XDU,0.4950 (2),0.3330 (2),
359912,Charles,0.4770 (3),0.3210 (3),
360638,carryhjr,0.4710 (4),0.3100 (4),
354349,zhangxiaoli,0.4620 (5),0.3100 (4),
358912,Hhhhhhh,0.4530 (6),0.2930 (7),
354655,linpeng02188,0.4530 (6),0.3000 (5),
354437,miaodq,0.4520 (7),0.2980 (6),
359463,haojingjing,0.4480 (8),0.2860 (8),
354314,wangmingming,0.4460 (9),0.2930 (7),
359058,liuguozhang,0.4410 (10),0.2850 (9),
361089,zuoyi,0.4290 (11),0.2460 (15),
361067,audi666,0.4290 (11),0.2460 (15),
360082,tobethemoon,0.4270 (12),0.2440 (16),
354118,suiyuanjiuhao,0.4270 (12),0.2730 (12),
354344,Wi11Chan,0.4230 (13),0.2720 (13),
355943,ACVLabNCKU,0.4200 (14),0.2740 (11),
357245,y2c,0.4160 (15),0.2780 (10),
360708,yangjian,0.3750 (16),0.2550 (14),
359762,hzz12138,0.3650 (17),0.2420 (17),
356140,Michal_Sypetkowski,0.3110 (18),0.1870 (19),
361232,hepengfei,0.3060 (19),0.1920 (18),
354498,Egg_Meat,0.2910 (20),0.1730 (21),
357779,duraklefkan,0.2770 (21),0.1810 (20),
359720,wjc,0.2650 (22),0.1660 (22),
353822,bright_light,0.2610 (23),0.1580 (23),
354544,min_gao,0.2520 (24),0.1580 (23),
357594,dundun,0.2390 (25),0.1460 (24),
355760,lonelyfish,0.2290 (26),0.1370 (25),
353953,wangheng,0.2280 (27),0.1350 (26),
360547,WangYueRong,0.2070 (28),0.1140 (28),
359031,Hush12306,0.2030 (29),0.1150 (27),
357277,linxi_ice,0.1870 (30),0.1150 (27),
359879,lizx,0.1830 (31),0.1000 (29),
360129,chen_bowen,0.1460 (32),0.0780 (30),
361612,Shawn2023,0.1220 (33),0.0700 (31),
359149,venkanna37,0.1170 (34),0.0520 (33),
357577,Fly_Z,0.1120 (35),0.0630 (32),
354083,hwqstorm,0.0250 (36),0.0090 (34),
