submission_pk,User,b'WS-PSNR (dB)',b'WS-SSIM',b'PSNR (dB)',b'SSIM'
317139,yoyo.du,33.5475 (1),0.9458 (1),34.0801 (1),0.9483 (1),
373055,Accusefive,30.4278 (2),0.8390 (2),30.9730 (2),0.8473 (2),
367611,hasaki,30.4236 (3),0.8389 (3),30.9676 (3),0.8471 (3),
343976,Bob072,30.1970 (4),0.8364 (4),30.7627 (4),0.8452 (4),
364212,HaoqiangYang,30.0299 (6),0.8311 (5),30.5845 (5),0.8395 (5),
357131,KenM,29.9493 (8),0.8310 (6),30.4994 (8),0.8394 (6),
366238,flowers,29.9959 (7),0.8294 (9),30.5379 (6),0.8374 (7),
361703,Starseeker,29.9144 (9),0.8295 (8),30.4309 (9),0.8369 (8),
360148,Spider-Man,30.0393 (5),0.8308 (7),30.5337 (7),0.8369 (9),
357455,ZZPM,29.7578 (13),0.8244 (15),30.4230 (10),0.8362 (10),
335411,juntaoJIANG,29.7948 (12),0.8279 (12),30.3163 (13),0.8355 (11),
344509,bee992,29.8679 (10),0.8292 (10),30.3647 (11),0.8354 (12),
314829,zelapu,29.7489 (14),0.8268 (13),30.2764 (14),0.8343 (13),
341274,luoyang1999,29.8669 (11),0.8285 (11),30.3374 (12),0.8343 (14),
324857,wangjg,29.6939 (15),0.8254 (14),30.2221 (15),0.8328 (15),
331470,andrew880111,29.6242 (16),0.8235 (16),30.1258 (16),0.8306 (16),
341260,Shuohao,29.6177 (17),0.8234 (17),30.1211 (17),0.8304 (17),
333187,Leeyl,29.5557 (18),0.8219 (18),30.0749 (18),0.8294 (18),
328982,Raft,29.4147 (19),0.8196 (19),29.9063 (19),0.8264 (19),
319352,BinChenVILLA,29.3031 (20),0.8156 (20),29.8112 (20),0.8229 (20),
314807,mdc,29.1823 (21),0.8142 (21),29.6711 (21),0.8213 (21),
366645,ramusz,28.5283 (22),0.8076 (22),28.9857 (22),0.8132 (22),
318429,luobingchun,28.3158 (23),0.7948 (23),28.7904 (23),0.8024 (23),
316168,BingXi,27.5294 (24),0.7821 (24),27.9256 (24),0.7890 (24),
342744,Trial,26.9961 (26),0.7572 (25),27.6052 (26),0.7715 (25),
352550,arui,27.1927 (25),0.7464 (26),27.7347 (25),0.7613 (26),
