submission_pk,User,b'Score',b'AP_50',b'Delta_1'
362131,sanmu,0.787100 (1),0.773000 (2),0.801200 (3),
357067,IPIU-XDU,0.784200 (2),0.783000 (1),0.785500 (8),
361093,ZheWang,0.783300 (3),0.749000 (6),0.817700 (1),
361538,carryhjr,0.773300 (4),0.742000 (7),0.804600 (2),
360381,Charles,0.769000 (5),0.757000 (3),0.781000 (14),
353209,shelan,0.767300 (6),0.751000 (5),0.783600 (10),
354024,haojingjing,0.764500 (7),0.731000 (10),0.798100 (5),
355642,linpeng02188,0.760400 (8),0.739000 (9),0.781800 (12),
355548,zhangxiaoli,0.760300 (9),0.740000 (8),0.780600 (15),
355686,wangmingming,0.755600 (10),0.728000 (11),0.783200 (11),
356242,ACVLabNCKU,0.736000 (11),0.684000 (13),0.788000 (7),
358935,Zhou_ZM,0.732600 (12),0.669000 (14),0.796200 (6),
356255,y2c,0.732400 (13),0.722000 (12),0.742800 (18),
357248,xixiha,0.724600 (14),0.664000 (15),0.785200 (9),
355263,miaodq,0.724600 (14),0.755000 (4),0.694200 (22),
358936,SeaElm,0.710900 (15),0.621000 (16),0.800800 (4),
354258,Jitai,0.670000 (16),0.591000 (18),0.749100 (17),
357697,Ritu,0.664800 (17),0.559000 (19),0.770600 (16),
355377,xyqszbd,0.647300 (18),0.593000 (17),0.701600 (21),
353845,sjh_zjut,0.602800 (19),0.498000 (21),0.707700 (20),
361653,sin_cos_tan,0.435000 (20),0.520000 (20),0.350000 (23),
360212,YangRuoyu,0.390600 (21),0.000000 (24),0.781300 (13),
360034,EQ94,0.362000 (22),0.007000 (23),0.717000 (19),
360494,ykZOU,0.234200 (23),0.467000 (22),0.001400 (26),
359111,SaadAhmedJamal,0.049300 (24),0.000000 (24),0.098700 (24),
360735,FaryalJaved,0.038000 (25),0.000000 (24),0.076100 (25),
