submission_pk,User,b'F1 Stance Detection',b'F1 Premise Classification'
236501,o_fawkes,0.7128 (1),0.7267 (5),
86865,EvgeniaKomleva,0.7118 (2),0.7053 (9),
410620,notawhale,0.6957 (3),0.7436 (2),
428722,erdzhemadinov,0.6953 (4),0.7569 (1),
82710,orzhan,0.6923 (5),0.7344 (4),
408260,lkuz_mik,0.6792 (6),0.7198 (6),
220980,yuliya1324,0.6727 (7),0.7384 (3),
408045,exxxplainer,0.6692 (8),0.7191 (7),
412199,nmorozov22,0.6598 (9),0.7088 (8),
405738,a.makhin,0.6417 (10),0.6686 (13),
411218,isaf27,0.6384 (11),0.6628 (14),
409061,azelentsov,0.6383 (12),0.6703 (12),
407589,aayugay99,0.6361 (13),0.6136 (25),
401044,BGDNick,0.6357 (14),0.6592 (15),
408163,Mat_Skr,0.6247 (15),0.6728 (11),
407667,GlebMazanov,0.6218 (16),0.6573 (16),
409257,rediska,0.6205 (17),0.5941 (31),
420115,vlasovroman,0.6194 (18),0.6155 (24),
409198,katyanaveka,0.6175 (19),0.5540 (43),
419539,toxicmopsic,0.6098 (20),0.6862 (10),
418238,zhilnikova,0.6033 (21),0.6261 (19),
422609,PerelyginEgor,0.6006 (22),0.6250 (20),
408652,libraa,0.5927 (23),0.5944 (30),
409351,chomsky,0.5901 (24),0.6133 (26),
412039,_twinkle_,0.5884 (25),0.6000 (28),
409077,Emillio,0.5817 (26),0.5456 (45),
404420,zaaabik,0.5771 (27),0.6569 (17),
232157,Mary_bocharova,0.5766 (28),0.5954 (29),
406997,JuliaKudryavtseva,0.5754 (29),0.6188 (22),
230042,lyubachuba,0.5747 (30),0.5064 (57),
87163,Gyra,0.5742 (31),0.5719 (36),
407120,Vir_Ven,0.5713 (32),0.6179 (23),
415147,kisialiou,0.5703 (33),0.6422 (18),
399477,TOOFACK,0.5701 (34),0.5810 (34),
409210,mr6one,0.5688 (35),0.6031 (27),
88651,cdnce,0.5671 (36),0.5177 (52),
413695,Nick,0.5639 (37),0.6219 (21),
413209,sakura_ai,0.5613 (38),0.5810 (33),
407995,bogchamp,0.5573 (39),0.5764 (35),
409339,nlp_user,0.5450 (40),0.5057 (58),
411500,niksukhorukov,0.5421 (41),0.5709 (37),
98761,nvski,0.5394 (42),0.5357 (48),
408165,HuiFan,0.5391 (43),0.5605 (41),
408196,PenisEnjoyer,0.5388 (44),0.5624 (40),
412167,Nuzhnov_Mark,0.5384 (45),0.4948 (69),
64907,invincible,0.5309 (46),0.5599 (42),
412001,art-bash,0.5287 (47),0.5694 (38),
406263,makovka,0.5256 (48),0.5693 (39),
64734,ilya_k1LL3r,0.5250 (49),0.5463 (44),
88602,dondo_sss,0.5242 (50),0.5054 (59),
89578,AntonZub1337,0.5216 (51),0.4918 (73),
232166,DariaRev,0.5176 (52),0.5141 (55),
87091,Valerii_Kornilov,0.5131 (53),0.5288 (51),
83065,dmgvrlv,0.5126 (54),0.5162 (53),
70774,KkOoRrNnEeYy,0.5107 (55),0.4930 (70),
