submission_pk,User,b'score'
484736,sense-dl-lab,0.8911 (1),
484835,XiaojiangPeng,0.8855 (2),
484146,chenhaifeng,0.8853 (3),
484437,hudesheng,0.8841 (4),
478348,AI4AI,0.8811 (5),
484359,USTC-IAT-United,0.8775 (6),
475486,cenjinglun1999,0.8726 (7),
477937,Voice_of_Soul,0.8703 (8),
482389,Beihang_Information_Security_and_Intelligent_Information_Processing_Laboratory,0.8691 (9),
483325,AIPL-BME-SEU,0.8689 (10),
482182,nsddd,0.8661 (11),
475123,BDIC,0.8537 (12),
484712,TUA1,0.8507 (13),
479029,T_MERG,0.8486 (14),
482376,Wearing_Instruments_Lab,0.0661 (15),
472409,zeroqiaoba,0.0661 (15),
