submission_pk,User,b'F0.5',b'Precision',b'Recall',b'TP',b'FP',b'FN'
356413,maksymbondarenko,0.6817 (1),0.7913 (3),0.4387 (4),580.0 (4),153.0 (3),742.0 (3),
356149,fpg,0.6809 (2),0.7321 (4),0.5322 (1),735.0 (1),269.0 (6),646.0 (1),
356463,Bohdan_Didenk,0.6771 (3),0.8086 (1),0.4103 (5),528.0 (5),125.0 (1),759.0 (5),
356482,nastia.hdm,0.6645 (4),0.7922 (2),0.4040 (6),526.0 (6),138.0 (2),776.0 (6),
356230,ua_gec,0.6469 (5),0.7306 (5),0.4436 (3),594.0 (3),219.0 (5),745.0 (4),
395858,rozovska,0.6205 (6),0.6521 (7),0.5195 (2),718.0 (2),383.0 (7),664.0 (2),
329041,MaskymTarnavskyi,0.5950 (7),0.6950 (6),0.3776 (7),483.0 (7),212.0 (4),796.0 (7),
