submission_pk,User,b'F1 Scre',b'Duration'
475153,DataMonkeys,0.7496 (1),0.00 (3),
475126,DeepBlueAI,0.7254 (2),0.00 (6),
475132,HJ,0.7214 (3),0.00 (5),
475142,pawan2411,0.7127 (4),0.00 (10),
475180,harsha20032020,0.6965 (5),0.00 (2),
475182,Brunch,0.6896 (6),0.00 (7),
475144,PolyU_CBS,0.6894 (7),0.00 (9),
475184,ymathur,0.5394 (8),0.00 (4),
471800,KDF.SIGIR,0.0304 (9),0.00 (8),
470933,pakapro,-1.0000 (10),0.00 (1),
