submission_pk,User,b'AP',b'AP IoU=.50',b'AP IoU=.75',b'AP large',b'AP medium',b'AP small',b'AR large',b'AR max=1',b'AR max=10',b'AR max=100',b'AR medium',b'AR small'
192888,Anonymous,0.59 (1),0.76 (1),0.65 (1),0.72 (1),0.62 (1),0.41 (1),0.91 (1),0.42 (1),0.72 (1),0.77 (1),0.81 (1),0.61 (1),
192845,Anonymous,0.50 (2),0.69 (2),0.55 (2),0.62 (3),0.54 (2),0.31 (3),0.82 (3),0.38 (3),0.62 (3),0.66 (3),0.70 (3),0.46 (3),
193614,Anonymous,0.50 (3),0.68 (3),0.54 (3),0.62 (2),0.53 (3),0.32 (2),0.83 (2),0.39 (2),0.64 (2),0.68 (2),0.72 (2),0.49 (2),
192675,Anonymous,0.48 (4),0.66 (4),0.52 (4),0.60 (4),0.51 (4),0.29 (4),0.81 (4),0.37 (4),0.61 (4),0.64 (4),0.69 (4),0.44 (4),
179435,Anonymous,0.28 (5),0.46 (5),0.31 (5),0.43 (5),0.30 (5),0.11 (5),0.53 (5),0.25 (5),0.34 (5),0.34 (5),0.37 (5),0.12 (5),
191825,Anonymous,0.19 (6),0.31 (6),0.20 (6),0.30 (6),0.20 (6),0.07 (6),0.45 (6),0.18 (6),0.27 (6),0.28 (6),0.28 (6),0.10 (6),
