submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10'
353619,leoo,0.613 (1),0.829 (3),0.680 (4),0.486 (2),0.651 (5),
327755,YINGKAINING_1,0.611 (2),0.837 (2),0.683 (2),0.480 (3),0.656 (1),
222394,ID4,0.608 (3),0.849 (1),0.671 (6),0.475 (9),0.653 (4),
397568,AA250250,0.602 (4),0.814 (7),0.676 (5),0.476 (7),0.648 (6),
458722,zhangtao-whu,0.600 (5),0.826 (5),0.684 (1),0.477 (6),0.654 (3),
487667,jinyan,0.599 (6),0.827 (4),0.681 (3),0.476 (8),0.655 (2),
238070,timmein,0.598 (7),0.823 (6),0.658 (7),0.479 (4),0.644 (7),
456740,rajatkoner08,0.589 (8),0.790 (11),0.650 (8),0.492 (1),0.636 (8),
348231,HarborYY,0.584 (9),0.794 (10),0.643 (9),0.475 (10),0.636 (9),
227734,koalandyz1,0.577 (10),0.804 (8),0.625 (11),0.477 (5),0.623 (10),
479832,scyf4567,0.562 (11),0.789 (12),0.627 (10),0.463 (12),0.617 (11),
354213,Ach,0.559 (12),0.788 (13),0.607 (12),0.472 (11),0.614 (12),
454584,einston,0.529 (13),0.798 (9),0.595 (13),0.428 (15),0.576 (16),
441801,chuxioajie,0.509 (14),0.758 (14),0.553 (15),0.436 (13),0.578 (15),
460463,KainingYing,0.498 (15),0.703 (21),0.547 (16),0.431 (14),0.595 (13),
456112,andreadps,0.497 (16),0.722 (16),0.553 (14),0.409 (22),0.553 (20),
477279,qz96,0.496 (17),0.718 (17),0.547 (17),0.425 (16),0.582 (14),
493723,sadfhklj,0.480 (18),0.713 (19),0.533 (18),0.407 (25),0.562 (17),
238738,daniel34344,0.478 (19),0.714 (18),0.529 (19),0.412 (20),0.556 (19),
493329,zljia,0.475 (20),0.685 (23),0.520 (21),0.413 (18),0.551 (22),
476229,jottue,0.475 (21),0.709 (20),0.521 (20),0.396 (30),0.551 (23),
486820,kagawa123,0.472 (22),0.675 (25),0.503 (26),0.412 (19),0.546 (25),
297763,miranheo,0.472 (23),0.666 (29),0.519 (22),0.407 (24),0.533 (26),
