submission_pk,User,b'Accuracy (top-1)[%]',b'Score2',b'Score3',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
65118,USTC-IAT-United,36.44 (1),36.44 (1),36.44 (1),0.00 (6),0.00 (2),0.00 (2),
64364,Zhou_ZM,31.23 (2),31.23 (2),31.23 (2),0.01 (7),0.00 (2),0.00 (2),
64925,NYCX,28.09 (3),28.09 (3),28.09 (3),0.02 (11),0.00 (2),0.00 (2),
62180,linpeng,27.97 (4),27.97 (4),27.97 (4),-1.00 (1),-1.00 (3),-1.00 (3),
63672,Tassel_tzw,27.48 (5),27.48 (5),27.48 (5),-1.00 (1),-1.00 (3),-1.00 (3),
63841,mytry1,26.76 (6),26.76 (6),26.76 (6),-1.00 (1),0.00 (2),-1.00 (3),
62164,MEYE,26.63 (7),26.63 (7),26.63 (7),0.02 (12),0.00 (2),0.00 (2),
64357,priyakansal,25.67 (8),25.67 (8),25.67 (8),0.05 (14),0.00 (2),0.00 (2),
64726,anirudhsikdar3,25.30 (9),25.30 (9),25.30 (9),-1.00 (1),-1.00 (3),-1.00 (3),
66179,robot-1,25.06 (10),25.06 (10),25.06 (10),0.02 (11),0.00 (2),1.00 (1),
64467,sumanth_udupa,25.06 (10),25.06 (10),25.06 (10),-1.00 (1),-1.00 (3),-1.00 (3),
62686,Howie,25.06 (10),25.06 (10),25.06 (10),0.00 (3),0.00 (2),0.00 (2),
69593,jzsherlock,24.94 (11),24.94 (11),24.94 (11),0.02 (10),0.00 (2),0.00 (2),
64129,Sandhi,24.88 (12),24.88 (12),24.88 (12),0.00 (2),0.00 (2),0.00 (2),
65306,kancharlavamshi,24.82 (13),24.82 (13),24.82 (13),0.01 (9),0.00 (2),0.00 (2),
64933,jsyoon,24.58 (14),24.58 (14),24.58 (14),0.04 (13),0.00 (2),0.00 (2),
64231,mytry2,23.49 (15),23.49 (15),23.49 (15),-1.00 (1),0.00 (2),-1.00 (3),
63609,sjy,23.49 (15),23.49 (15),23.49 (15),-1.00 (1),0.00 (2),-1.00 (3),
65125,hsansui,22.52 (16),22.52 (16),22.52 (16),0.00 (4),0.00 (2),0.00 (2),
62714,ltliu,22.28 (17),22.28 (17),22.28 (17),0.00 (3),0.00 (2),0.00 (2),
64197,leinao123,22.03 (18),22.03 (18),22.03 (18),1.00 (17),1.00 (1),1.00 (1),
64167,SabariNathan,22.03 (18),22.03 (18),22.03 (18),10.43 (18),1.00 (1),1.00 (1),
65067,dushens,21.79 (19),21.79 (19),21.79 (19),0.00 (2),0.00 (2),0.00 (2),
66177,neptune,20.34 (20),20.34 (20),20.34 (20),10.43 (18),0.00 (2),0.00 (2),
65107,zhangteng,20.22 (21),20.22 (21),20.22 (21),0.00 (2),0.00 (2),-1.00 (3),
64846,wujiekd,20.22 (21),20.22 (21),20.22 (21),0.00 (2),0.00 (2),-1.00 (3),
63743,msalehi,19.98 (22),19.98 (22),19.98 (22),0.34 (16),1.00 (1),0.00 (2),
68991,areyesan,18.89 (23),18.89 (23),18.89 (23),0.33 (15),0.00 (2),0.00 (2),
65051,Levin,16.10 (24),16.10 (24),16.10 (24),0.00 (2),0.00 (2),0.00 (2),
65113,king,13.56 (25),13.56 (25),13.56 (25),0.00 (5),0.00 (2),0.00 (2),
64739,avinash_nesac,13.32 (26),13.32 (26),13.32 (26),-1.00 (1),-1.00 (3),-1.00 (3),
65111,Marry,13.20 (27),13.20 (27),13.20 (27),0.01 (8),0.00 (2),0.00 (2),
61911,PiKaChu_wcg,3.85 (28),3.85 (28),3.85 (28),10.43 (18),1.00 (1),1.00 (1),
