submission_pk,User,b'Score',b'Memory usage (MiB)',b'CPU time (ms)'
338404,EdiMuskardin,0.0000000000 (1),117.000 (1),0.085 (1),
334080,RemiEyraud,0.0000005053 (2),148.000 (2),0.148 (2),
344090,r.hakimi,0.0000005053 (2),148.000 (2),0.162 (3),
