submission_pk,User,b'F-Score',b'F-Score (Edges)',b'MAE',b'RMSE',b'AbsRel',b'Edge Accuracy',b'Edge Completion'
213544,jspenmar,13.7211 (1),7.7630 (1),5.5645 (7),9.7169 (7),32.0420 (6),3.9712 (7),21.6256 (1),
229494,hwscut,13.5324 (2),7.4090 (6),5.2011 (1),8.9767 (2),29.6566 (1),3.6722 (4),27.3099 (2),
232798,Sicks,13.2998 (3),7.4906 (3),5.5047 (6),9.6373 (6),33.3515 (7),3.6430 (3),28.7068 (3),
233832,z.suri,13.0812 (4),7.4634 (5),5.3920 (4),9.2741 (4),29.9645 (3),3.8112 (5),32.6975 (5),
232425,ivas,12.9835 (5),7.4688 (4),5.3924 (5),9.3233 (5),30.4621 (5),3.4372 (2),28.7670 (4),
221727,yiyiyihahaha,12.8505 (6),7.2973 (7),5.3192 (3),9.0397 (3),30.2219 (4),3.8284 (6),43.7737 (7),
228152,cqzhao,12.6566 (7),7.5141 (2),5.2197 (2),8.9623 (1),29.7014 (2),3.3615 (1),35.4662 (6),
