submission_pk,User,DICE,DICE,HD,HD,ASSD,ASSD,b'CC',b'MAE',b'LOA',b'CRPS'
,b'Mean',b'SD',b'Mean',b'SD',b'Mean',b'SD'
466621,akaroui,0.030 (2),2.013 (1),0.264 (4),0.978 (2),7.313 (5),18.768 (4),0.012 (2),,,,,,,
463059,gemr22,0.031 (3),2.145 (3),0.259 (3),0.980 (1),7.308 (3),18.533 (3),0.012 (2),,,,,,,
464660,KiwiYyy,0.028 (1),2.167 (6),0.233 (1),0.977 (3),7.310 (4),18.974 (5),0.012 (2),,,,,,,
463373,Hairuiwang,0.030 (2),2.160 (5),0.249 (2),0.975 (4),7.444 (6),21.175 (9),0.012 (2),,,,,,,
465653,ominous_ocelot,0.034 (6),2.155 (4),0.290 (11),0.980 (1),6.881 (1),17.121 (1),0.012 (2),,,,,,,
465709,hoanguyen93,0.032 (4),2.220 (7),0.268 (7),0.969 (8),8.333 (10),24.657 (15),0.013 (3),,,,,,,
466381,rrosales,0.030 (2),2.142 (2),0.267 (6),0.969 (8),8.274 (9),22.725 (12),0.014 (4),,,,,,,
467593,azanella,0.030 (2),2.658 (12),0.266 (5),0.969 (8),8.037 (8),22.533 (11),0.013 (3),,,,,,,
466252,Dolphins,0.033 (5),2.581 (10),0.274 (9),0.969 (8),8.934 (14),23.777 (14),0.014 (4),,,,,,,
463874,hang_jung,0.032 (4),2.607 (11),0.264 (4),0.974 (5),7.752 (7),19.954 (6),0.013 (3),,,,,,,
467534,nicoco,0.033 (5),2.236 (8),0.284 (10),0.968 (9),8.672 (12),22.167 (10),0.080 (7),,,,,,,
465678,calderds,0.033 (5),2.919 (13),0.259 (3),0.978 (2),7.057 (2),17.532 (2),0.012 (2),,,,,,,
463838,marwanabb,0.033 (5),4.122 (15),0.259 (3),0.973 (6),8.749 (13),21.086 (8),0.014 (4),,,,,,,
467367,luiskabongo-inheart,0.035 (7),2.242 (9),0.325 (13),0.970 (7),8.335 (11),20.795 (7),0.080 (7),,,,,,,
