submission_pk,User,b'Score',b'Memory usage (MiB)',b'CPU time (ms)'
341565,EdiMuskardin,0.0020000000 (2),119.000 (1),0.064 (1),
334081,RemiEyraud,0.4842700000 (4),150.000 (4),0.150 (2),
342384,mathias.cabanne,0.4805600000 (3),148.000 (2),0.169 (3),
342663,r.hakimi,0.4805600000 (3),149.000 (3),0.170 (4),
352998,kawa_yo,0.0000000000 (1),310.000 (5),1.662 (5),
