submission_pk,User,b'CER'
35779,halsay,16.08 (1),
35857,csf,17.48 (2),
35453,shenchen,19.25 (3),
35816,qwerqaz,20.28 (4),
352357,XMUSPEECH,21.26 (5),
35409,wy-zhang,26.53 (6),
40288,lujing,27.08 (7),
35146,inger,27.58 (8),
83205,z3c,31.05 (9),
35711,kevin,32.01 (10),
32698,nickyang,32.75 (11),
30319,XXX,33.10 (12),
33784,aluminumbox,34.87 (13),
35169,newsaving,36.43 (14),
36767,wantt,37.64 (15),
32669,taorui,38.15 (16),
22255,bsmu,38.15 (16),
22236,Test,38.15 (16),
