submission_pk,User,b'Score',b'Agent computation time'
480588,an39,42.97 (1),2006.62 (2),
485156,David_Willams,-83.08 (2),0.02 (1),
491311,powerflow_team,-130.00 (3),99999.00 (3),
491138,sorfanoudakis,-130.00 (3),99999.00 (3),
