submission_pk,User,b'AP_50',b'mAP'
352973,IPIU-XDU,0.5590 (1),0.3780 (1),
352993,wangmingming,0.5550 (2),0.3730 (2),
352951,Charles,0.5540 (3),0.3720 (3),
351689,haojingjing,0.5540 (3),0.3670 (4),
351687,Rubby,0.5530 (4),0.3650 (5),
352698,tingliu,0.5510 (5),0.3640 (6),
350827,guozhang-liu,0.5470 (6),0.3640 (6),
349302,lcr,0.5400 (7),0.3600 (7),
351656,hzj,0.5320 (8),0.3480 (11),
342300,pzhang1990,0.5290 (9),0.3520 (9),
336217,mengkeyuan,0.5290 (9),0.3530 (8),
350625,carryhjr,0.5280 (10),0.3480 (11),
336774,shenlan,0.5250 (11),0.3440 (12),
341465,zhangxiaoli,0.5240 (12),0.3490 (10),
340964,linpeng02188,0.5240 (12),0.3490 (10),
334142,xianqingyu,0.5160 (13),0.3320 (14),
343703,Hhhhhhh,0.5130 (14),0.3320 (14),
341613,miaodq,0.5080 (15),0.3410 (13),
326327,curry111,0.5070 (16),0.3250 (18),
350490,qiqi,0.5030 (17),0.3270 (17),
326509,suiyuanjiuhao,0.5010 (18),0.3230 (20),
352931,Wi11Chan,0.5000 (19),0.3250 (18),
319974,ZheWang,0.4980 (20),0.3290 (16),
342261,liuguozhang,0.4970 (21),0.3240 (19),
342043,newboy,0.4950 (22),0.3310 (15),
343572,NongFu-Spring,0.4940 (23),0.3200 (21),
349034,zsc1220,0.4920 (24),0.3170 (22),
335057,yuruiew,0.4920 (24),0.3160 (23),
339910,Earth_vision_luojia,0.4830 (25),0.3010 (31),
348984,tobesixty,0.4800 (26),0.3090 (26),
351612,WangNingjing,0.4770 (27),0.3070 (27),
342222,rs_bdm,0.4760 (28),0.2750 (36),
338528,luojunwei,0.4760 (28),0.2750 (36),
335662,WanchunLi,0.4740 (29),0.3030 (30),
302679,y2c,0.4740 (29),0.3050 (28),
352663,zuoyi,0.4720 (30),0.3040 (29),
349087,chih_yu1222,0.4710 (31),0.3120 (24),
353042,ACVLabNCKU,0.4700 (32),0.3110 (25),
343751,tobethemoon,0.4610 (33),0.2920 (34),
325888,wangbowangbo,0.4500 (34),0.2970 (32),
328564,wangboyang,0.4490 (35),0.2950 (33),
344747,hzz12138,0.4380 (36),0.2900 (35),
331635,karasu.free,0.4260 (37),0.2730 (37),
316454,susanping,0.4250 (38),0.2660 (39),
328744,lfbhlx,0.4210 (39),0.2660 (39),
352756,liusilei,0.4200 (40),0.2630 (40),
320935,xqiao,0.4190 (41),0.2720 (38),
352927,Chenfx,0.4150 (42),0.2600 (41),
342421,yangjian,0.4150 (42),0.2600 (41),
332782,audi666,0.4140 (43),0.2660 (39),
318952,SuperEarth,0.4060 (44),0.2540 (42),
351680,laconicli,0.4030 (45),0.2480 (45),
341183,lkbb1213,0.4030 (45),0.2510 (44),
329758,www,0.3950 (46),0.2530 (43),
341934,Alioth,0.3930 (47),0.2440 (46),
301393,wliny,0.3860 (48),0.2390 (48),
331913,gazelxu,0.3790 (49),0.2380 (49),
350772,Egg_Meat,0.3730 (50),0.2240 (55),
350178,hepengfei,0.3710 (51),0.2330 (50),
307272,Onewo,0.3710 (51),0.2270 (52),
331205,Claira,0.3700 (52),0.2270 (52),
351469,Michal_Sypetkowski,0.3680 (53),0.2220 (56),
346784,bieyang,0.3650 (54),0.2300 (51),
326568,zj,0.3620 (55),0.2170 (59),
303402,wangzhiyu918,0.3610 (56),0.2250 (54),
