submission_pk,User,b'score'
369986,Lucas_phan,0.9600 (1),
362597,qraim,0.9600 (1),
388820,sarahallaire,0.9575 (2),
388775,moussa_deh,0.9575 (2),
360508,AdrienPons,0.9575 (2),
493757,thomas_landais,0.9525 (3),
362705,dfilali,0.9525 (3),
388430,Junioraba,0.9525 (3),
387696,MkPsykogwak,0.9525 (3),
387751,khoa_phung,0.9525 (3),
387551,Fethi_BENNAMA,0.9525 (3),
364690,mohamed_aziz_barkallah,0.9525 (3),
362538,alexandre49,0.9525 (3),
388328,Haitam_Elqassimi,0.9500 (4),
387712,Jason_Collongues,0.9500 (4),
362517,haddad_fateh,0.9500 (4),
389909,yakin.hichem_kaddour,0.9475 (5),
388774,mazouni_rayan,0.9475 (5),
388647,rlasri,0.9475 (5),
387400,melek_turhan,0.9475 (5),
351823,tom_chedmail,0.9475 (5),
388891,ouzzineamina,0.9450 (6),
388716,safaa_khadda,0.9450 (6),
364361,ahmadhouhou1,0.9425 (7),
362502,BachcharSellami,0.9425 (7),
388699,minhthoai_ngo,0.9400 (8),
362536,mehdi_hkoukou,0.9400 (8),
388421,massi_chayeb,0.9400 (8),
388303,adamafif,0.9400 (8),
388902,Mohamed_Idir_Foual,0.9375 (9),
351798,Alexandre_Joly,0.9375 (9),
351964,jeremy.sanna,0.9375 (9),
388930,chaimaeHallab,0.9325 (10),
376687,AITABDELLAH_MohamedAmine,0.9300 (11),
362510,maxence_doucet,0.9250 (12),
388907,RouabhiLyna,0.9200 (13),
386087,sabarry,0.9175 (14),
362539,victor_loiseau,0.9175 (14),
389960,zakaria_boughanbouz,0.9150 (15),
389954,sbihiLamine,0.9150 (15),
387372,GIOVANNI_CARRE,0.8800 (16),
388721,A_06,0.6525 (17),
343897,fgarreau,0.5850 (18),
400700,Aurore_Motin,0.2275 (19),
351553,tnganga,0.2275 (19),
351511,OlivierGoudet,0.2275 (19),
