submission_pk,User,b'Combined R2',b'Unweighted R2',b'Weighted R2'
254874,csvision,0.1939 (91),-0.0377 (114),0.4254 (61),
276014,Yuan_XU,0.1909 (92),0.0216 (101),0.3602 (88),
231055,severinf,0.1900 (93),-0.1680 (120),0.5481 (21),
265706,Laura,0.1800 (94),0.0210 (102),0.3391 (95),
272657,lehnpa,0.1773 (95),0.0548 (89),0.2999 (101),
261075,markuenz,0.1709 (96),-0.0028 (107),0.3446 (93),
299964,ekracik,0.1694 (97),0.1233 (79),0.2155 (113),
276076,BjfpgZOC,0.1644 (98),-0.0224 (111),0.3512 (90),
240967,omr100,0.1604 (99),0.0319 (97),0.2889 (102),
255219,Tobias,0.1592 (100),0.1592 (64),0.1592 (121),
271054,Princess,0.1590 (101),0.1590 (65),0.1590 (122),
276848,aubingazhibo,0.1545 (102),0.1545 (67),0.1545 (123),
277421,flaviosc,0.1528 (103),0.1528 (68),0.1528 (124),
278217,tshpakov,0.1521 (104),-0.0969 (116),0.4011 (74),
273527,DogEgg,0.1501 (105),0.1501 (69),0.1501 (125),
274238,matvogel,0.1487 (106),0.1487 (73),0.1487 (126),
229615,roberson,0.1483 (107),-0.0504 (115),0.3470 (92),
277994,lspecht,0.1397 (108),-0.2945 (127),0.5740 (12),
243650,skrebs,0.1332 (109),0.1332 (77),0.1332 (127),
278357,cdurrer_,0.1259 (110),0.1259 (78),0.1259 (128),
244879,Anthony_Eid,0.1116 (111),-0.0076 (109),0.2309 (110),
277537,nargran,0.1084 (112),0.1084 (82),0.1084 (129),
261899,tonglu,0.1009 (113),0.0217 (100),0.1802 (117),
278433,sastocke,0.0997 (114),0.0340 (96),0.1654 (119),
261617,lukashol,0.0944 (115),0.0944 (84),0.0944 (132),
255452,Bibean,0.0934 (116),0.0850 (85),0.1018 (131),
249118,lukaschu,0.0857 (117),-0.1724 (122),0.3438 (94),
251079,luiten,0.0834 (118),0.0588 (88),0.1081 (130),
229339,yurohu,0.0802 (119),-0.3171 (128),0.4776 (40),
235629,appiusa,0.0802 (120),-0.3976 (129),0.5580 (17),
261900,asperj,0.0802 (121),-0.0352 (113),0.1956 (116),
278400,ullip,0.0742 (122),-0.0115 (110),0.1599 (120),
262483,traceelement,0.0698 (123),-0.1939 (123),0.3335 (97),
275884,diegomachain,0.0690 (124),-0.2796 (126),0.4176 (62),
276796,carolnf,0.0552 (125),-0.1680 (121),0.2785 (103),
222716,ecorey,0.0551 (126),-0.4724 (131),0.5827 (11),
271492,mgroepl,0.0550 (127),-0.4344 (130),0.5443 (22),
276179,javier,0.0404 (128),0.0404 (91),0.0404 (133),
229160,wensizhang,0.0350 (129),-0.1454 (119),0.2154 (114),
241768,varulchelvan,0.0343 (130),0.0343 (92),0.0343 (134),
270098,pafloria,0.0311 (131),-0.1680 (120),0.2303 (111),
255120,cici,0.0289 (132),-0.1401 (118),0.1979 (115),
251879,henzerf,0.0240 (133),-0.2223 (124),0.2703 (107),
255535,bmaechle,0.0222 (134),-0.1341 (117),0.1784 (118),
221744,IACV_BASELINE,0.0209 (135),0.0209 (104),0.0209 (135),
278469,Francesco_Casucci,-0.0426 (136),0.0340 (95),-0.1192 (136),
241686,tobirama,-0.2626 (137),-0.2626 (125),-0.2626 (137),
294422,debaumann,-0.7359 (138),-0.9579 (132),-0.5139 (138),
278232,KondiK,-1.4808 (139),-1.4808 (133),-1.4808 (140),
301507,mglasder,-1.9114 (140),-1.9586 (134),-1.8643 (141),
304169,mhalter,-2.7884 (141),-2.8109 (135),-2.7659 (142),
278385,med,-2.9237 (142),-4.5173 (136),-1.3301 (139),
287537,wueestry,-11.2432 (143),-10.4423 (138),-12.0440 (143),
276157,tkuester,-13.0509 (144),-10.4291 (137),-15.6727 (144),
