submission_pk,User,b'Style transfer accuracy',b'Meaning preservation',b'Fluency',b'Joint score',b'ChrF1'
426281,niksukhorukov,0.78 (86),0.80 (63),0.83 (58),0.53 (65),0.54 (81),
156740,gleb_zherr,0.80 (60),0.80 (73),0.82 (77),0.53 (66),0.55 (63),
156691,TumanovGA,0.81 (56),0.79 (93),0.82 (72),0.53 (67),0.56 (52),
156744,RaveNHol,0.83 (32),0.78 (104),0.80 (95),0.53 (68),0.52 (104),
435233,_twinkle_,0.82 (36),0.78 (103),0.81 (79),0.53 (69),0.53 (94),
442414,Nick,0.78 (88),0.82 (44),0.82 (64),0.53 (70),0.56 (38),
440842,toxicmopsic,0.76 (103),0.80 (72),0.86 (30),0.53 (71),0.55 (65),
442602,nlp_user,0.82 (42),0.80 (87),0.80 (92),0.53 (72),0.55 (64),
262939,Insafq,0.81 (52),0.80 (79),0.81 (89),0.53 (73),0.54 (82),
411896,norekhov,0.80 (59),0.79 (90),0.81 (83),0.53 (74),0.54 (80),
288519,konstantinator,0.79 (82),0.81 (52),0.81 (78),0.53 (75),0.56 (54),
433536,TOOFACK,0.78 (83),0.82 (42),0.82 (74),0.53 (76),0.57 (22),
400914,Alexei,0.80 (64),0.80 (84),0.82 (71),0.53 (77),0.54 (84),
289340,Dast,0.85 (27),0.75 (114),0.80 (93),0.53 (78),0.48 (117),
157157,tesag90651,0.80 (65),0.79 (92),0.81 (84),0.52 (79),0.57 (33),
437597,knowledge,0.83 (33),0.79 (99),0.77 (116),0.52 (80),0.56 (57),
282723,Mariia_Sosnovskaya,0.79 (80),0.80 (83),0.80 (91),0.52 (81),0.54 (74),
290134,yaKate,0.76 (96),0.82 (46),0.82 (76),0.51 (82),0.56 (36),
289274,Lokrizz,0.82 (44),0.77 (108),0.80 (100),0.51 (83),0.54 (88),
425429,Mekan,0.78 (85),0.80 (69),0.80 (97),0.51 (84),0.55 (69),
441049,IvanGurev,0.75 (107),0.83 (30),0.81 (81),0.51 (85),0.57 (31),
155575,DanilaM,0.85 (26),0.71 (123),0.80 (96),0.50 (86),0.47 (120),
411281,albloodless,0.72 (115),0.84 (7),0.83 (62),0.50 (87),0.55 (62),
287379,EvgenyKH,0.82 (35),0.75 (117),0.81 (86),0.50 (88),0.46 (121),
289256,alexander.khan,0.74 (109),0.83 (23),0.81 (87),0.50 (89),0.56 (47),
289317,eglamozdina,0.77 (92),0.79 (91),0.81 (85),0.50 (90),0.53 (100),
157338,Mikhail.Yatskov,0.82 (39),0.75 (116),0.78 (112),0.50 (91),0.51 (114),
411575,zoya_osipova,0.75 (106),0.81 (60),0.80 (98),0.49 (92),0.54 (76),
288524,kalinin_vladimir,0.75 (108),0.81 (53),0.80 (101),0.49 (93),0.57 (16),
406820,russkikhsv,0.76 (101),0.80 (74),0.82 (73),0.49 (94),0.54 (90),
447040,LA,0.77 (91),0.78 (102),0.81 (90),0.49 (95),0.53 (101),
289571,Rostislav_Korst,0.76 (102),0.78 (105),0.83 (59),0.49 (96),0.57 (5),
444934,katyanaveka,0.77 (94),0.80 (68),0.79 (105),0.49 (97),0.53 (98),
290903,Andrey_Semenishen,0.76 (97),0.80 (66),0.78 (113),0.48 (98),0.53 (92),
290646,Zolberg101,0.76 (97),0.80 (66),0.78 (113),0.48 (98),0.53 (92),
287680,Mikhail_Bulkin,0.77 (93),0.79 (95),0.78 (110),0.48 (99),0.54 (72),
284018,ilya_flash,0.77 (90),0.79 (96),0.79 (106),0.48 (100),0.52 (107),
157208,NosenkoArtem,0.73 (113),0.82 (36),0.79 (103),0.48 (101),0.56 (51),
442583,azelentsov,0.78 (87),0.75 (115),0.80 (94),0.48 (102),0.59 (1),
424442,bogchamp,0.67 (121),0.84 (13),0.84 (45),0.48 (103),0.57 (6),
424271,libraa,0.73 (114),0.82 (43),0.80 (99),0.48 (104),0.56 (46),
441003,generation,0.81 (47),0.76 (111),0.75 (120),0.48 (105),0.52 (108),
443761,AlexeyKotcov,0.71 (116),0.80 (89),0.83 (63),0.47 (106),0.53 (96),
289806,TimofeevNS,0.74 (111),0.80 (77),0.78 (109),0.47 (107),0.53 (93),
288388,Maxim_Markeev,0.74 (110),0.80 (86),0.78 (114),0.46 (108),0.53 (91),
443810,sakura_ai,0.67 (122),0.81 (54),0.85 (36),0.46 (109),0.54 (86),
289411,althg,0.71 (118),0.82 (31),0.79 (108),0.46 (110),0.56 (45),
156936,Gleb_1,0.65 (124),0.83 (17),0.84 (42),0.45 (111),0.54 (89),
290005,kepolol,0.79 (76),0.76 (110),0.73 (124),0.45 (112),0.53 (95),
157829,MaksimB,0.82 (38),0.68 (126),0.78 (115),0.45 (113),0.46 (123),
157568,George_Kr,0.80 (61),0.71 (124),0.77 (117),0.45 (114),0.48 (118),
438020,JuliaKudryavtseva,0.76 (99),0.80 (70),0.73 (123),0.45 (115),0.55 (60),
450840,Emillio,0.78 (84),0.73 (121),0.76 (119),0.45 (116),0.51 (113),
288221,Chirkov_Igor,0.71 (119),0.78 (100),0.79 (104),0.44 (117),0.52 (105),
289745,pavel_ermolaev,0.81 (55),0.73 (120),0.72 (125),0.44 (118),0.50 (116),
436261,GlebMazanov,0.68 (120),0.79 (98),0.82 (70),0.44 (119),0.52 (103),
447869,lkuz_mik,0.67 (123),0.74 (119),0.81 (88),0.41 (120),0.53 (97),
436822,n9,0.56 (128),0.89 (2),0.85 (34),0.41 (121),0.53 (99),
288159,lilaspourpre,0.56 (128),0.89 (2),0.85 (34),0.41 (121),0.53 (99),
292969,Seradja,0.63 (125),0.84 (9),0.78 (111),0.41 (122),0.54 (83),
445708,BGDNick,0.55 (129),0.91 (1),0.81 (80),0.40 (123),0.55 (66),
289326,vlad_DVS,0.73 (112),0.70 (125),0.74 (121),0.39 (124),0.45 (125),
450970,BunnyNoBugs,0.71 (117),0.68 (127),0.72 (126),0.35 (125),0.33 (127),
289136,nexx_136,0.60 (126),0.74 (118),0.74 (122),0.32 (126),0.46 (122),
157915,MrCoolinCoda,0.56 (127),0.77 (107),0.72 (127),0.31 (127),0.46 (124),
282630,kostya,0.83 (30),0.44 (128),0.64 (128),0.25 (128),0.41 (126),
463936,Staftsev_Egor,1.00 (1),0.00 (129),0.42 (129),0.00 (129),0.00 (128),
