submission_pk,User,b'SCORE'
38772,WayneWiser,0.058 (1),
38752,MingCheng,0.071 (2),
38761,KeAi2,0.091 (3),
38700,harasuki,0.101 (4),
38765,baochenchen,0.108 (5),
38771,shiba2themoon,0.109 (6),
38710,JanShaw,0.110 (7),
38621,xianyi,0.113 (8),
38749,azhang1998,0.121 (9),
38708,Levoice11,0.122 (10),
38653,Qiuchenyu,0.123 (11),
32713,zhangao1998,0.195 (12),
37257,gump77,0.241 (13),
38121,hyejin,0.254 (14),
35123,misp2021task1,0.322 (15),
32802,Tangyue,0.402 (16),
38668,KONGYT,0.498 (17),
38692,Rain_C,0.898 (18),
