submission_pk,User,b'HOTA',b'DetA',b'AssA',b'LocA'
363095,Fran_Aguilar_Lite,43.7387 (1),43.3930 (4),44.3436 (2),78.3176 (3),
367438,albert_santos,39.0043 (2),43.8584 (3),35.0702 (12),77.6823 (13),
362362,Paula,35.3554 (3),44.4879 (2),28.3169 (17),78.0862 (6),
363114,NairaGarmendia,33.2336 (4),41.3509 (5),27.1644 (18),80.0365 (1),
365283,u161575,31.8083 (5),45.6865 (1),22.5502 (27),78.2041 (4),
364213,ikerlandarech,31.4698 (6),23.8090 (15),41.8067 (3),77.7346 (12),
363124,alvie,30.8763 (7),40.1150 (6),24.0559 (25),77.6724 (14),
364152,Georgina,29.7618 (8),36.7492 (8),24.2772 (24),77.9113 (10),
365239,u172757,29.6864 (9),22.1137 (17),40.1517 (5),76.6120 (24),
362579,laia,29.6322 (10),21.9275 (18),40.4200 (4),76.5820 (25),
363913,ainamasenello,29.2115 (11),22.1655 (16),38.7000 (8),77.8254 (11),
363187,alsemito,28.9819 (12),31.6091 (9),26.7877 (20),77.6158 (16),
364751,NilMartiValverde,28.9480 (13),31.5944 (10),26.7377 (22),77.6192 (15),
364537,blancacervera,28.9480 (13),31.5944 (10),26.7377 (22),77.6192 (15),
363954,Meritxell,28.8537 (14),21.6293 (19),38.8424 (7),77.0187 (21),
364742,josepsala,28.8421 (15),21.2696 (20),39.4450 (6),77.0152 (22),
360889,KarenSequera,28.4513 (16),30.6686 (11),26.7399 (21),78.0038 (9),
354838,caarmee_cs,28.2134 (17),21.1218 (21),37.9735 (9),76.7751 (23),
365648,clara_carla,27.5065 (18),38.0933 (7),20.0742 (28),78.0685 (7),
364183,U161625,27.0380 (19),29.6830 (13),24.8080 (23),78.4593 (2),
365211,Eduard,26.9113 (20),20.3917 (22),35.8282 (11),77.2593 (19),
362695,mariagomez,26.3476 (21),29.9297 (12),23.3857 (26),78.0434 (8),
364113,PauMontero,25.4886 (22),24.2882 (14),26.9373 (19),77.4349 (18),
365313,Langostino,25.2691 (23),19.4022 (23),33.2702 (13),77.1159 (20),
364631,xaviips,24.6957 (24),18.8576 (24),32.6955 (14),78.1389 (5),
362850,rogerpurgimon01,23.8329 (25),18.4485 (25),31.0109 (16),77.5610 (17),
365382,u161629,20.9473 (26),14.0417 (26),31.5223 (15),74.3695 (27),
365635,u150262,15.8803 (27),6.2612 (27),45.0745 (1),66.8365 (28),
365367,marc.perez08,14.8875 (28),5.8960 (28),37.7668 (10),74.8248 (26),
