submission_pk,User,b'mIoU',b'ExecutionTime'
477783,jiaotiancai,0.56407 (1),200.22763 (35),
482844,lihengzhong,0.56301 (2),193.17898 (50),
380664,hty,0.55902 (3),4.37775 (111),
181814,jbnuc,0.55687 (4),197.93930 (40),
153546,huliang,0.55483 (5),251.48590 (8),
479112,test_mm,0.55240 (6),215.91261 (24),
136232,ylh125,0.55208 (7),140.79246 (103),
492758,ITRC,0.55059 (8),181.39698 (64),
180754,pzhang1990,0.54939 (9),191.35139 (54),
478042,ivica.dimitrovski,0.54912 (10),177.04702 (72),
404978,xingmo,0.54881 (11),242.65882 (13),
340641,stdcoutzrh,0.54861 (12),163.62799 (89),
482765,sxr,0.54690 (13),168.94188 (79),
492922,blxl233,0.54637 (14),160.56867 (94),
426251,yingyue,0.54627 (15),168.85659 (80),
448353,tfhong,0.54616 (16),245.91183 (11),
437618,satyawant,0.54555 (17),153.41187 (99),
146960,n0body,0.54542 (18),196.07285 (43),
222148,wobukun,0.54514 (19),193.41286 (48),
475766,satyawantkumar,0.54507 (20),221.79723 (23),
107428,YuanzhiCAI,0.54504 (21),196.90042 (42),
397044,swxasd,0.54445 (22),176.17844 (73),
339585,kevin_cha,0.54397 (23),162.44320 (90),
248315,suisuisu,0.54342 (24),192.12503 (53),
182535,DH_RS,0.54319 (25),206.00689 (27),
80507,kingdrone,0.54294 (26),198.61774 (38),
425644,rche,0.54234 (27),165.92235 (85),
27295,lyh,0.54185 (28),232.93411 (18),
260652,lxf,0.54014 (29),254.84229 (5),
339902,test120629693,0.53919 (30),390.12838 (1),
268339,liululu,0.53864 (31),170.30910 (76),
469092,siri123,0.53725 (32),180.67883 (65),
358474,heinz12365,0.53720 (33),243.08577 (12),
159863,liujiawei,0.53708 (34),247.82740 (10),
432156,QUST_DPJ_YAMI,0.53594 (35),160.66043 (92),
424732,bug_maker,0.53591 (36),160.65395 (93),
460745,QQT,0.53545 (37),252.03742 (7),
162960,Sky_Lee,0.53508 (38),234.67654 (17),
214223,jwx,0.53418 (39),186.20563 (58),
255748,Waterman,0.53417 (40),159.48909 (96),
385428,cbzhao,0.53344 (41),202.20470 (33),
143748,zsc1220,0.53301 (42),193.50475 (47),
276375,gjustin,0.53277 (43),193.25195 (49),
229760,bricker,0.53269 (44),241.37898 (14),
459922,muimui,0.53190 (45),162.02432 (91),
160834,NXU-BoLi,0.53169 (46),235.97913 (16),
52107,guohuideng,0.53066 (47),204.82945 (29),
466934,zqy98,0.53054 (48),180.06427 (67),
475186,dong970130,0.53032 (49),201.64266 (34),
407504,HUp,0.52988 (50),182.04302 (63),
145369,wlb,0.52978 (51),149.35302 (101),
182063,hhyhhy,0.52841 (52),194.43611 (46),
448068,benesakitam,0.52660 (53),180.60126 (66),
323753,liuweiwuxie,0.52539 (54),204.30338 (31),
163750,ChenminSong,0.52509 (55),231.89304 (19),
386600,BoltenWang,0.52480 (56),163.87484 (88),
274439,WineDuck,0.52439 (57),168.22134 (81),
482971,MeloNyyy,0.52402 (58),183.84926 (62),
418177,AmberJar,0.52219 (59),177.61541 (71),
447780,uda,0.52210 (60),156.91177 (98),
406818,wxr,0.52200 (61),239.10660 (15),
364826,Kate0925,0.52065 (62),170.27019 (77),
163765,gdq,0.52063 (63),231.85736 (20),
178868,mmabrouk,0.52052 (64),253.53048 (6),
379529,LoveDM,0.52018 (65),168.20879 (82),
422924,skybear,0.51934 (66),184.84121 (61),
451594,zwlan11,0.51930 (67),188.98553 (56),
440813,protyayofficial,0.51851 (68),152.73541 (100),
416978,Elaine,0.51808 (69),165.18097 (87),
449562,anyingyi,0.51540 (70),80.48981 (108),
432817,fcdl94,0.51496 (71),165.73227 (86),
75494,decluster,0.51435 (72),215.50953 (25),
422031,Henryljp,0.51429 (73),171.22368 (75),
52071,yyc,0.51365 (74),280.20325 (2),
216742,stte0503,0.51347 (75),166.71019 (84),
235613,scu_cmpunk,0.51305 (76),203.64734 (32),
