submission_pk,User,b'Average F1-score'
159494,doctor_who,0.6756 (1),
164906,Teddy487,0.5501 (2),
174490,Xiao,0.4935 (3),
158926,xf49,0.4927 (4),
157905,anonuser123,0.4563 (5),
161115,SumitDalal,0.3371 (6),
161029,abhiseksharma,0.3369 (7),
157912,lm-kbc-22-default-baseline,0.3108 (8),
161108,chitrank,0.2796 (9),
157909,srazniew,0.1800 (10),
