submission_pk,User,b'Final Score',b'Accuracy (top-1)[%]',b'AUROC',b'TNR at tpr95',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
356869,overfittinghhh,0.84 (1),80.51 (1),0.94 (1),0.55 (28),0.00 (2),0.00 (2),
351750,mcc,0.77 (2),74.81 (2),0.84 (9),0.20 (20),0.00 (2),0.00 (2),
352064,doggie,0.77 (3),73.64 (4),0.86 (5),0.30 (25),-1.00 (3),-1.00 (3),
348000,papei,0.76 (4),71.17 (5),0.90 (2),0.68 (29),0.00 (2),0.00 (2),
347816,chaichai,0.76 (4),71.17 (5),0.90 (2),0.68 (29),0.00 (2),0.00 (2),
360942,Raghunath19,0.75 (5),74.03 (3),0.79 (15),0.26 (23),0.00 (2),0.00 (2),
342803,txccc,0.70 (6),65.57 (6),0.84 (8),0.35 (27),0.00 (2),0.00 (2),
339692,yangyang6,0.65 (7),57.53 (11),0.88 (3),0.30 (24),0.00 (2),0.00 (2),
343010,Running,0.64 (8),57.27 (13),0.85 (7),0.22 (22),1.00 (1),0.00 (2),
339741,lllok,0.64 (9),56.62 (16),0.86 (4),0.31 (26),0.00 (2),0.00 (2),
341370,fcai21,0.64 (10),57.01 (14),0.85 (6),0.14 (16),0.00 (2),0.00 (2),
346752,cuisong,0.64 (11),57.40 (12),0.83 (10),0.14 (18),1.00 (1),0.00 (2),
342898,yangyang18,0.63 (12),56.88 (15),0.82 (11),0.07 (11),0.00 (2),0.00 (2),
346050,yvshanXie,0.63 (13),57.66 (10),0.79 (16),0.17 (19),1.00 (1),0.00 (2),
342476,VL,0.63 (14),58.31 (9),0.76 (18),0.14 (17),1.00 (1),0.00 (2),
342460,JingwenH,0.63 (14),58.31 (9),0.76 (18),0.14 (17),1.00 (1),0.00 (2),
342740,kkkkkkkk,0.62 (15),55.97 (17),0.80 (14),0.03 (7),0.00 (2),0.00 (2),
347827,ionut.motoi,0.62 (16),55.58 (18),0.81 (13),0.03 (5),0.00 (2),0.00 (2),
407349,BrettPopowycz,0.61 (17),57.66 (10),0.72 (19),0.11 (15),0.00 (2),0.00 (2),
344867,titin,0.61 (18),54.94 (19),0.78 (17),0.05 (10),0.00 (2),0.00 (2),
343026,xd132,0.59 (19),59.22 (7),0.57 (22),0.00 (1),-1.00 (3),-1.00 (3),
349221,kancharlavamshi,0.58 (20),53.90 (20),0.69 (20),0.08 (13),-1.00 (3),-1.00 (3),
347607,Tell_me_why,0.56 (21),57.53 (11),0.51 (24),0.05 (9),-1.00 (3),-1.00 (3),
342416,cjf8899,0.54 (22),44.68 (23),0.81 (12),0.22 (21),0.00 (2),0.00 (2),
335805,rezafuad,0.54 (23),48.83 (22),0.68 (21),0.10 (14),1.00 (1),1.00 (1),
352030,xidianstu,0.53 (24),58.96 (8),0.34 (29),0.00 (2),-1.00 (3),-1.00 (3),
346114,Yang001,0.49 (25),53.77 (21),0.36 (28),0.03 (4),0.00 (2),0.00 (2),
301752,mavoc_pbvs_admin,0.28 (26),21.82 (24),0.48 (25),0.03 (6),-1.00 (3),-1.00 (3),
342712,xd132132,0.19 (27),10.00 (25),0.45 (26),0.07 (12),-1.00 (3),-1.00 (3),
342762,hling,0.18 (28),6.62 (27),0.53 (23),0.05 (8),-1.00 (3),-1.00 (3),
350238,youbingbing,0.16 (29),9.87 (26),0.36 (27),0.02 (3),-1.00 (3),-1.00 (3),
346347,hinmer,0.08 (30),10.00 (25),0.00 (30),0.00 (1),-1.00 (3),-1.00 (3),
