submission_pk,User,b'f1',b'Precision',b'Recall'
428146,agmegias,0.8976 (1),0.8796 (5),0.9184 (1),
408205,EstebanPonce,0.8968 (2),0.8989 (3),0.8948 (3),
404950,alejandrov90,0.8960 (3),0.9118 (1),0.8817 (6),
404958,Jorge,0.8960 (3),0.9118 (1),0.8817 (6),
420859,Arnold,0.8859 (4),0.8855 (4),0.8862 (5),
403514,csuazob,0.8847 (5),0.8792 (6),0.8907 (4),
401287,HoracioJarquin,0.8706 (6),0.8408 (8),0.9040 (2),
424557,rkcd,0.8445 (7),0.8558 (7),0.8344 (8),
431625,danielvallejo237,0.8443 (8),0.9038 (2),0.8017 (9),
422282,VickBat,0.8380 (9),0.8375 (10),0.8439 (7),
431818,BrauuHdzm,0.7890 (10),0.8390 (9),0.7663 (10),
