submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
243833,gongtengxinyi,30.41 (6),0.94 (5),0.01 (3),0.00 (2),0.00 (1),
242682,yuyangxianyi,30.46 (5),0.94 (2),0.01 (3),0.00 (2),0.00 (1),
242664,wth_test,30.48 (4),0.94 (4),0.01 (3),0.00 (2),0.00 (1),
242605,FaceMan_LuoJi,30.16 (10),0.93 (11),0.07 (9),0.00 (2),0.00 (1),
241886,HaoWen,29.77 (16),0.93 (12),0.07 (8),0.00 (2),0.00 (1),
241357,VINHYU_1,30.10 (11),0.94 (10),0.12 (11),0.00 (2),0.00 (1),
241336,wth1919,30.23 (7),0.94 (7),56.30 (14),0.00 (2),0.00 (1),
227921,birdortyedi,28.83 (18),0.92 (17),0.01 (2),0.00 (2),0.00 (1),
227931,bjzou,29.95 (14),0.90 (18),1.34 (12),0.00 (2),0.00 (1),
227928,sayednadim,29.50 (17),0.93 (13),0.02 (6),0.00 (2),0.00 (1),
227926,Juan,29.81 (15),0.94 (3),0.01 (4),0.00 (2),0.00 (1),
227929,baifree,28.66 (19),0.92 (16),0.02 (5),0.00 (2),0.00 (1),
227927,noahtcv,32.69 (1),0.94 (1),0.10 (10),1.00 (1),0.00 (1),
227922,andrealiu,30.22 (8),0.94 (6),4.20 (13),1.00 (1),0.00 (1),
227924,mialgo_ls,30.73 (3),0.87 (19),0.02 (5),0.00 (2),0.00 (1),
227923,yinzhicun,29.99 (13),0.94 (8),4.20 (13),1.00 (1),0.00 (1),
227229,VINHYU,30.20 (9),0.94 (9),0.06 (7),0.00 (2),0.00 (1),
220102,nanashi,28.83 (18),0.92 (17),0.01 (2),0.00 (2),0.00 (1),
227930,zhuqingweiyu,31.47 (2),0.92 (15),-1.00 (1),-1.00 (3),-1.00 (2),
227925,jinhakim,30.08 (12),0.93 (14),-1.00 (1),-1.00 (3),-1.00 (2),
