submission_pk,User,b'F1',b'ROUGE-2'
307051,AntContentTech,0.8593 (1),- (-),
310783,xixilu556,0.8581 (2),- (-),
310623,HJ,0.8497 (3),- (-),
307501,bluesky,0.8389 (4),- (-),
292466,TeamShakespeare,0.8343 (5),- (-),
305630,hk9663,0.8309 (6),- (-),
309012,chenyv,0.8146 (7),- (-),
307511,TeamUnibo,0.8112 (8),- (-),
306463,irit_iris,0.8076 (9),- (-),
304989,peanut,0.8038 (10),- (-),
301210,DeepAI,0.8028 (11),- (-),
293293,KushagriT,0.7980 (12),- (-),
306749,nicolas.hernandez,0.7951 (13),- (-),
310066,Pinal-Patel,0.7650 (14),- (-),
300132,uottawa.NLP23,0.7465 (15),- (-),
302830,sindhu262,0.7400 (16),- (-),
298693,TueReuth-Legal,0.7335 (17),- (-),
309824,jaindeepali010,0.7143 (18),- (-),
303481,shaz,0.7102 (19),- (-),
302459,scholarly360,0.6902 (20),- (-),
303329,aashsach,0.6602 (21),- (-),
310037,csecudsg,0.6465 (22),- (-),
309076,hiranmai,0.6133 (23),- (-),
303104,ccidragons,0.5813 (24),- (-),
307198,aminard,0.5681 (25),- (-),
310534,achouhan,0.3506 (26),- (-),
308364,viniciusvidal,0.2609 (27),- (-),
