submission_pk,User,b'Text Recog. Acc.'
420392,VIE_77,50.75 (1),
420396,abcaaa,47.27 (2),
420174,tobesixty,41.01 (3),
420183,laod,39.60 (4),
420089,JinYong,38.97 (5),
