submission_pk,User,b'DER'
416974,Intema,27.8 (1),
430598,SRI-Bangalore,28.6 (2),
423878,BIIClab,31.5 (3),
430762,BASELINES,32.5 (4),
409985,augnito_speech,35.7 (5),
414581,TCSResearch,37.3 (6),
447707,gintautas_VU,39.2 (7),
418232,Inbalri,42.5 (8),
