submission_pk,User,b'Accuracy'
207939,OK_A,0.95 (1),
207342,shuriksokol,0.95 (1),
208124,NanamyYu,0.94 (2),
207988,widemax,0.93 (3),
208145,retir,0.92 (4),
208130,voidmax,0.92 (4),
208213,annastep2001,0.90 (5),
208182,paul_kulpin,0.90 (5),
207733,shoraii,0.90 (5),
204917,Kirill_Zhirnov,0.90 (5),
208200,polina_krasnova,0.89 (6),
208052,alekhinakate,0.89 (6),
207905,ikalkamanov,0.89 (6),
208135,DosBall,0.88 (7),
208115,avnekl,0.88 (7),
208090,akzhan_uali,0.88 (7),
208056,alanova_shirin,0.88 (7),
207850,IHateDL,0.88 (7),
206906,uliana_win,0.88 (7),
208197,maripkl,0.87 (8),
208077,ivan_spirin,0.87 (8),
208901,OshalevshiyKeks,0.86 (9),
208129,anishew,0.86 (9),
208203,MISHA,0.85 (10),
208196,i_vainn,0.85 (10),
208193,BukreevaAnna,0.85 (10),
208160,annaroitblat,0.85 (10),
207629,huwarr,0.85 (10),
204507,VM,0.85 (10),
208208,Panesher,0.84 (11),
208199,esquerte,0.84 (11),
208210,mari_solod,0.83 (12),
208201,mariya_timonina,0.83 (12),
208043,Danila,0.83 (12),
208029,VladMalkov,0.83 (12),
208006,sd-denisoff,0.83 (12),
207036,tonik75,0.83 (12),
207014,Platon_Sergeevich,0.83 (12),
207012,uuu,0.83 (12),
207006,EgorTkachenko,0.83 (12),
205600,khintpdf,0.83 (12),
203866,Stolik,0.83 (12),
208214,erasedwalt,0.82 (13),
208207,Soroktani,0.82 (13),
208205,Ilianneta,0.82 (13),
208173,purpletyoma,0.82 (13),
207955,artempris,0.82 (13),
207812,ivan_kot,0.82 (13),
207809,Anastasia_Rudenko,0.82 (13),
207107,alex_a,0.82 (13),
204770,taiypeo,0.82 (13),
201684,EINE,0.82 (13),
208161,seloptev,0.81 (14),
208059,pinkbittern,0.81 (14),
207966,kmlapshina,0.81 (14),
207233,abobus,0.81 (14),
208152,meow_meow,0.80 (15),
208195,kattgim,0.80 (15),
208045,nastygorodi,0.80 (15),
207991,Kononova_Irina,0.80 (15),
207857,StakhK,0.80 (15),
207535,zinovieva_ksenia,0.80 (15),
207479,christinas,0.80 (15),
205666,grenlayk,0.80 (15),
208670,shishkoffandrey,0.79 (16),
207980,darya_nabatova,0.79 (16),
208041,MakArtKar,0.78 (17),
208218,Iriska_Myakcat,0.77 (18),
208154,Wlad_Kniazhewski,0.77 (18),
207919,aborevsky,0.77 (18),
207737,anastasiaibaeva,0.77 (18),
206436,mrrraz,0.77 (18),
202234,hyarmaite,0.77 (18),
208589,andrew_milko,0.76 (19),
208143,xiv0,0.76 (19),
207725,fedorovaaa,0.76 (19),
206643,Leo-nid,0.76 (19),
208995,edamirov_PRESSURE,0.75 (20),
207947,gareeva_aa,0.75 (20),
203878,student123,0.75 (20),
207987,nskoryagin,0.74 (21),
207010,manalyona,0.74 (21),
208190,Vladimir_Karlov,0.73 (22),
207975,olpyhn,0.72 (23),
208220,dkozl,0.69 (24),
204482,DanielKhaybulin,0.68 (25),
208178,AhriNoir,0.67 (26),
208037,RomanGladkikh,0.67 (26),
203243,nick1543,0.67 (26),
207630,anikonn,0.65 (27),
206948,andrey_petrovich,0.65 (27),
207906,scipidar,0.49 (28),
208065,ekarp,0.45 (29),
207771,atazal,0.36 (30),
193601,random_classifier,0.34 (31),
