submission_pk,User,b'Avg',b'mA',b'Label_F1',b'Instance_Acc',b'Instance_Prec',b'Instance_Rec',b'Instance_F1'
203651,melaeric,0.8044 (1),0.7835 (1),0.5979 (1),0.7299 (1),0.8451 (1),0.8190 (1),0.8265 (1),
182872,juliojj,0.7494 (2),0.7101 (2),0.5002 (2),0.6804 (2),0.8042 (2),0.7934 (2),0.7933 (2),
202680,vuvko,0.6818 (3),0.6535 (3),0.4261 (3),0.5773 (3),0.6907 (3),0.7452 (3),0.7126 (3),
