submission_pk,User,b'Score (mAP)',b'Vehicles',b'Person',b'Bicycle',b'Traffic Light',b'Traffic Sign'
133925,GroundTruth,0.51 (1),0.67 (2),0.58 (2),0.44 (1),0.50 (2),0.33 (2),
131808,heboyong,0.50 (2),0.67 (1),0.58 (1),0.37 (6),0.53 (1),0.36 (1),
133506,IPIU-XDU,0.49 (3),0.67 (3),0.58 (3),0.40 (2),0.50 (3),0.32 (3),
133277,miaodq,0.49 (4),0.67 (4),0.57 (5),0.40 (3),0.50 (5),0.29 (6),
133464,xa_ever,0.47 (5),0.66 (6),0.58 (4),0.37 (5),0.49 (6),0.25 (15),
131719,chenwei,0.47 (6),0.66 (9),0.56 (11),0.33 (11),0.50 (4),0.29 (5),
133235,BingDwenDwen,0.47 (7),0.67 (5),0.57 (7),0.35 (8),0.47 (11),0.28 (11),
131073,pangzihei,0.47 (8),0.65 (10),0.57 (6),0.36 (7),0.49 (7),0.26 (14),
133911,Charles,0.46 (9),0.66 (8),0.56 (9),0.31 (12),0.49 (9),0.29 (7),
131063,zx,0.46 (10),0.65 (11),0.56 (10),0.37 (4),0.46 (12),0.27 (12),
133890,qslb,0.46 (11),0.65 (12),0.57 (8),0.30 (15),0.49 (8),0.28 (10),
133895,Liyuanhao,0.46 (12),0.66 (7),0.56 (12),0.29 (16),0.48 (10),0.28 (9),
134086,keeply,0.44 (13),0.62 (16),0.52 (13),0.34 (10),0.42 (15),0.29 (8),
134094,icecreamztq,0.43 (14),0.63 (13),0.51 (16),0.28 (17),0.44 (13),0.26 (13),
133587,asdada,0.42 (15),0.61 (19),0.52 (14),0.35 (9),0.41 (17),0.23 (17),
132744,determined_dhaze,0.42 (16),0.62 (17),0.49 (19),0.30 (14),0.42 (14),0.29 (4),
133623,zhuzhu,0.42 (17),0.61 (20),0.52 (14),0.35 (9),0.41 (17),0.23 (17),
133050,msc_1,0.42 (18),0.63 (15),0.51 (17),0.30 (13),0.41 (18),0.24 (16),
133024,hgfwgwf,0.41 (19),0.61 (22),0.52 (15),0.35 (9),0.37 (21),0.21 (19),
133574,cscbs,0.41 (20),0.61 (21),0.46 (23),0.35 (9),0.41 (17),0.23 (17),
133525,Zhou_ZM,0.38 (21),0.63 (14),0.47 (21),0.20 (22),0.41 (16),0.22 (18),
133240,caic_ailab526,0.38 (22),0.62 (18),0.48 (20),0.24 (19),0.40 (19),0.17 (22),
133679,woodking,0.37 (23),0.59 (23),0.46 (22),0.21 (21),0.40 (20),0.21 (20),
334179,kakaluoto,0.30 (24),0.42 (25),0.38 (24),0.23 (20),0.33 (22),0.13 (23),
146476,caic-ailab,0.25 (25),0.51 (24),0.35 (25),0.11 (23),0.15 (23),0.10 (24),
133675,bailan,0.19 (26),0.00 (27),0.49 (18),0.24 (18),0.00 (25),0.19 (21),
332341,tg-road,0.02 (27),0.06 (26),0.02 (26),0.00 (24),0.01 (24),0.01 (25),
