submission_pk,User,b'mIoU',b'accuracy'
443440,TASeg,65.7 (1),91.4 (5),
347354,PointSeg,63.1 (2),92.2 (2),
319676,yanxugg,62.4 (3),91.4 (6),
225920,SVQNet,60.5 (4),92.7 (1),
493790,williambai,58.9 (5),91.9 (3),
325886,ClusterSeg,57.1 (6),91.5 (4),
194404,fengjiang0821,56.3 (7),91.0 (8),
287928,dingben01,53.0 (8),90.4 (14),
234550,TMV3D,53.0 (9),90.7 (12),
361414,ShiHanyu,52.7 (10),90.1 (18),
310175,MarS3D,52.7 (11),90.9 (10),
282237,gaoheng12,47.8 (12),89.3 (32),
325236,Wxy95,47.1 (13),91.3 (7),
483698,wing_v,46.9 (14),90.6 (13),
188680,gebreawe,46.8 (15),89.2 (33),
401061,liamlin543134,46.5 (16),89.6 (29),
447693,pmc,46.3 (17),90.1 (19),
257208,tyb,45.5 (18),90.8 (11),
342120,xenon,45.2 (19),90.2 (17),
217786,xd_u,45.1 (20),90.4 (15),
216505,xidian,44.3 (21),89.9 (22),
223928,zmx,44.2 (22),90.1 (20),
246401,Tarvish,43.6 (23),90.0 (21),
284654,L_chase,43.4 (24),89.6 (28),
351091,Tianmeng,42.8 (25),89.8 (25),
311062,PolarM_SPVC,42.7 (26),89.5 (31),
181037,skyshoumeng,42.3 (27),89.7 (27),
278078,jcenaa,41.8 (28),89.1 (35),
406266,xiangru,41.7 (29),90.3 (16),
380766,guido,41.4 (30),91.0 (9),
466227,ghzhang,41.4 (31),84.1 (54),
264895,ChuanqiL,40.8 (32),89.6 (30),
183326,YuhengLiu,40.3 (33),89.8 (23),
483762,panzhen,40.2 (34),89.8 (24),
290371,KangKang,39.2 (35),89.7 (26),
423182,YuanbinWang,38.7 (36),89.2 (34),
197550,SH13,38.2 (37),88.8 (38),
269927,sxk,37.4 (38),88.3 (41),
331856,ZhouCe,36.7 (39),88.2 (43),
260456,madh,36.6 (40),87.9 (44),
249282,iskra,36.3 (41),88.2 (42),
261747,cyyu,36.3 (42),87.8 (47),
195302,FranPi,36.3 (43),89.0 (36),
259849,Agnes,36.3 (44),88.9 (37),
268191,pokorsi1,36.1 (45),88.7 (39),
379239,QINLI,36.0 (46),87.8 (46),
328654,jieyun,35.9 (47),88.5 (40),
274343,Hairymoon,35.8 (48),87.7 (48),
282940,wyhzsbjs,35.7 (49),87.9 (45),
210225,hwpokya,35.2 (50),87.2 (50),
197532,Saver,35.2 (51),87.1 (51),
353783,Yst,34.8 (52),87.4 (49),
390992,as980307,33.9 (53),86.9 (52),
180983,sugertouch,33.8 (54),85.0 (53),
337620,Sp4n,31.2 (55),83.8 (55),
198246,Dqqqqq,1.1 (56),4.8 (57),
229817,SCPNet,0.3 (57),7.1 (56),
263872,zengjt,0.0 (58),0.0 (58),
