submission_pk,User,b'mAUROC',b'mAUPR',b'mFPR',b'mECE',b'mIoU'
468450,rac,0.8510 (1),0.4435 (1),0.3983 (1),0.0603 (1),0.6454 (1),
478091,Team_Rocket,0.7673 (2),0.1821 (3),0.4720 (2),0.1855 (4),0.3796 (3),
478252,HPeter,0.7429 (3),0.1712 (7),0.5204 (4),0.3116 (8),0.3656 (7),
478695,Janes_migadel,0.7418 (4),0.1806 (4),0.5880 (7),0.1799 (3),0.2848 (8),
478858,Yuehua.DING,0.7411 (5),0.1641 (8),0.5020 (3),0.2165 (5),0.3668 (6),
471287,Xuanlong_Yu,0.7337 (6),0.1790 (5),0.5253 (6),0.2880 (7),0.3690 (4),
475096,NathLaMenace,0.7337 (7),0.1790 (6),0.5253 (5),0.2880 (6),0.3690 (5),
462715,Sp4n,0.7091 (8),0.1907 (2),0.7499 (8),0.0970 (2),0.5309 (2),
