submission_pk,User,b'Average TPR@0.1FPR across the three scenarios'
296765,tianjian10,0.1750 (1),
304229,mrsarthakgupta,0.1713 (2),
293709,devpranjal,0.1713 (2),
302010,iamgroot42,0.1625 (3),
300003,kasra,0.1498 (4),
293712,cheeky-monkey,0.1427 (5),
293713,Flesh,0.1186 (6),
293710,rooney,0.1105 (7),
293711,ashhadulislam,0.1079 (8),
303023,thehimalayanleo,0.1077 (9),
293714,micochallenge,0.1077 (9),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
296765,tianjian10,0.2380 (1),0.0468 (2),0.0118 (1),0.6609 (1),0.2062 (2),0.6031 (2),
304229,mrsarthakgupta,0.2284 (2),0.0400 (3),0.0074 (2),0.6592 (2),0.2060 (3),0.6030 (3),
293709,devpranjal,0.2284 (2),0.0400 (3),0.0074 (2),0.6592 (2),0.2060 (3),0.6030 (3),
302010,iamgroot42,0.2218 (3),0.0514 (1),0.0072 (3),0.6568 (3),0.2078 (1),0.6039 (1),
300003,kasra,0.2020 (4),0.0250 (4),0.0034 (4),0.6452 (4),0.1954 (4),0.5977 (4),
293710,rooney,0.1302 (7),0.0130 (6),0.0014 (5),0.5919 (6),0.1752 (5),0.5876 (5),
303023,thehimalayanleo,0.1026 (9),0.0082 (8),0.0000 (6),0.5624 (9),0.1736 (6),0.5868 (6),
293711,ashhadulislam,0.1030 (8),0.0082 (8),0.0000 (6),0.5624 (10),0.1730 (7),0.5865 (7),
293713,Flesh,0.1344 (6),0.0120 (7),0.0000 (6),0.5781 (7),0.1230 (9),0.5615 (9),
293712,cheeky-monkey,0.1580 (5),0.0162 (5),0.0000 (6),0.6064 (5),0.1664 (8),0.5832 (8),
293714,micochallenge,0.1026 (9),0.0082 (8),0.0000 (6),0.5624 (8),0.1736 (6),0.5868 (6),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
293712,cheeky-monkey,0.1384 (4),0.0160 (2),0.0024 (1),0.5560 (4),0.0840 (4),0.5420 (4),
302010,iamgroot42,0.1406 (3),0.0160 (2),0.0018 (2),0.5568 (3),0.0854 (3),0.5427 (3),
304229,mrsarthakgupta,0.1412 (2),0.0150 (4),0.0014 (3),0.5602 (2),0.0916 (2),0.5458 (2),
293709,devpranjal,0.1412 (2),0.0150 (4),0.0014 (3),0.5602 (2),0.0916 (2),0.5458 (2),
296765,tianjian10,0.1456 (1),0.0164 (1),0.0012 (4),0.5603 (1),0.0976 (1),0.5488 (1),
300003,kasra,0.1274 (5),0.0152 (3),0.0008 (5),0.5366 (5),0.0586 (5),0.5293 (5),
293710,rooney,0.1044 (9),0.0106 (6),0.0006 (6),0.5091 (10),0.0248 (8),0.5124 (8),
303023,thehimalayanleo,0.1108 (7),0.0074 (7),0.0000 (7),0.5255 (7),0.0492 (6),0.5246 (6),
293711,ashhadulislam,0.1104 (8),0.0074 (7),0.0000 (7),0.5255 (6),0.0492 (6),0.5246 (6),
293713,Flesh,0.1118 (6),0.0112 (5),0.0000 (7),0.5234 (9),0.0430 (7),0.5215 (7),
293714,micochallenge,0.1108 (7),0.0074 (7),0.0000 (7),0.5255 (8),0.0492 (6),0.5246 (6),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
293712,cheeky-monkey,0.1318 (3),0.0156 (1),0.0024 (1),0.5522 (3),0.0776 (1),0.5388 (1),
293710,rooney,0.0968 (9),0.0100 (8),0.0012 (2),0.5138 (9),0.0292 (8),0.5146 (8),
304229,mrsarthakgupta,0.1442 (1),0.0148 (3),0.0006 (3),0.5545 (1),0.0764 (2),0.5382 (2),
302010,iamgroot42,0.1250 (4),0.0152 (2),0.0006 (3),0.5321 (5),0.0488 (5),0.5244 (5),
296765,tianjian10,0.1414 (2),0.0128 (6),0.0006 (3),0.5537 (2),0.0746 (3),0.5373 (3),
293709,devpranjal,0.1442 (1),0.0148 (3),0.0006 (3),0.5545 (1),0.0764 (2),0.5382 (2),
300003,kasra,0.1200 (5),0.0124 (7),0.0004 (4),0.5327 (4),0.0492 (4),0.5246 (4),
303023,thehimalayanleo,0.1098 (7),0.0134 (5),0.0000 (5),0.5205 (6),0.0380 (6),0.5190 (6),
293711,ashhadulislam,0.1102 (6),0.0134 (5),0.0000 (5),0.5205 (7),0.0380 (6),0.5190 (6),
293713,Flesh,0.1096 (8),0.0140 (4),0.0000 (5),0.5184 (8),0.0358 (7),0.5179 (7),
293714,micochallenge,0.1098 (7),0.0134 (5),0.0000 (5),0.5205 (6),0.0380 (6),0.5190 (6),
