submission_pk,User,b'Average Macro F1',b'Precision HS',b'Recall HS',b'F1 HS',b'Precision NHS',b'Recall NHS',b'F1 NHS'
365705,mgraffg,0.8224 (1),0.7217 (1),0.8300 (3),0.7721 (1),0.9081 (3),0.8400 (1),0.8727 (1),
380886,varsha2010399,0.8109 (2),0.6911 (2),0.8500 (2),0.7623 (3),0.9153 (2),0.8100 (2),0.8594 (2),
364475,NLP_URJC,0.8034 (3),0.6483 (4),0.9400 (1),0.7673 (2),0.9613 (1),0.7450 (4),0.8394 (4),
361014,aswathyprem,0.7798 (4),0.6667 (3),0.7800 (4),0.7189 (4),0.8798 (4),0.8050 (3),0.8407 (3),
