submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
372686,xtzhou,29.30 (25),0.85 (24),0.00 (2),0.00 (2),-1.00 (1),
372474,Xman,29.86 (8),0.87 (7),-1.00 (1),-1.00 (3),-1.00 (1),
372334,mialgo_ls,29.87 (7),0.86 (12),-1.00 (1),-1.00 (3),-1.00 (1),
372230,m-wq,29.80 (12),0.86 (15),-1.00 (1),-1.00 (3),-1.00 (1),
371979,AlisaWu,26.58 (44),0.77 (44),-1.00 (1),-1.00 (3),-1.00 (1),
372082,baolinv,29.92 (3),0.87 (5),-1.00 (1),-1.00 (3),-1.00 (1),
371441,ly1105,29.69 (20),0.86 (22),-1.00 (1),-1.00 (3),-1.00 (1),
371417,Spider-Man,29.83 (10),0.87 (9),-1.00 (1),-1.00 (3),-1.00 (1),
370903,xiaozhazha,29.92 (4),0.87 (3),-1.00 (1),-1.00 (3),-1.00 (1),
369768,baifree,29.90 (5),0.87 (2),-1.00 (1),-1.00 (3),-1.00 (1),
369459,jsyoon,28.46 (34),0.83 (35),-1.00 (1),-1.00 (3),-1.00 (1),
368911,cola,29.84 (9),0.87 (8),-1.00 (1),-1.00 (3),-1.00 (1),
366774,avengers,27.13 (39),0.78 (41),-1.00 (1),-1.00 (3),-1.00 (1),
366709,blindbox,29.73 (18),0.86 (19),-1.00 (1),-1.00 (3),-1.00 (1),
372223,GomTeddyBear,26.60 (43),0.77 (43),0.90 (5),0.00 (2),0.00 (2),
372120,kongconf,29.92 (2),0.87 (4),47.00 (17),0.00 (2),0.00 (2),
372109,yanghuabin,27.94 (37),0.82 (37),0.12 (4),0.00 (2),0.00 (2),
371494,Sriharsha,27.54 (38),0.82 (36),-1.00 (1),-1.00 (3),0.00 (2),
371425,RenJiahuan,29.26 (26),0.85 (27),0.02 (3),0.00 (2),0.00 (2),
371377,HomoMan,29.71 (19),0.86 (20),10.43 (15),0.00 (2),0.00 (2),
371317,Merenguelkl,29.20 (27),0.85 (23),10.00 (14),1.00 (1),0.00 (2),
371299,DD11,29.40 (23),0.85 (26),3.58 (8),0.00 (2),0.00 (2),
370994,VBK21,28.73 (32),0.85 (29),-1.00 (1),-1.00 (3),0.00 (2),
370937,IMAGHLee,29.79 (14),0.86 (10),10.00 (14),0.00 (2),0.00 (2),
370910,adityac8,29.79 (13),0.86 (13),4.00 (10),0.00 (2),0.00 (2),
369859,warriors_,29.07 (28),0.85 (28),10.43 (15),0.00 (2),0.00 (2),
369738,yangbo,29.66 (21),0.86 (18),2.40 (7),0.00 (2),0.00 (2),
369409,MedI,28.13 (35),0.82 (38),5.53 (11),0.00 (2),0.00 (2),
368937,wyan,28.93 (31),0.84 (32),435.00 (18),1.00 (1),0.00 (2),
368909,GZIC_EE,28.65 (33),0.84 (33),27.72 (16),0.00 (2),0.00 (2),
366962,SRIB_AINR_23,28.07 (36),0.83 (34),-1.00 (1),-1.00 (3),0.00 (2),
366365,Golf,29.78 (15),0.86 (11),3.67 (9),0.00 (2),0.00 (2),
364189,Ruilu_Wang,18.96 (45),0.46 (45),1.00 (6),1.00 (1),0.00 (2),
364144,audi666,26.78 (42),0.78 (40),10.43 (15),1.00 (1),0.00 (2),
372253,ZhijunTu,29.96 (1),0.87 (1),10.43 (15),0.00 (2),1.00 (3),
372140,Xy_Chen,29.81 (11),0.86 (14),6.00 (12),0.00 (2),1.00 (3),
371500,abcaaa,26.87 (40),0.78 (39),-1.00 (1),0.00 (2),1.00 (3),
371321,tobethemoon,28.93 (30),0.84 (31),10.43 (15),1.00 (1),1.00 (3),
371157,Jane_anne6,29.90 (6),0.87 (6),10.43 (15),0.00 (2),1.00 (3),
370945,huiyu,29.77 (16),0.86 (17),7.50 (13),1.00 (1),1.00 (3),
369751,forhero,28.95 (29),0.85 (30),10.43 (15),1.00 (1),1.00 (3),
367034,LIC,29.30 (24),0.85 (25),10.43 (15),1.00 (1),1.00 (3),
366074,Ukimochi,29.62 (22),0.86 (21),-1.00 (1),1.00 (1),1.00 (3),
364290,Turbo,26.85 (41),0.77 (42),-1.00 (1),0.00 (2),1.00 (3),
363066,ofsoundof,29.74 (17),0.86 (16),0.00 (2),0.00 (2),1.00 (3),
