submission_pk,User,b'Accuracy'
266533,Foolosopher,0.91 (1),
266222,AlekseevArtem,0.90 (2),
267388,emila,0.89 (3),
266407,lysanuik,0.89 (3),
264294,xjt,0.89 (3),
264284,slum,0.89 (3),
267463,dabashminova,0.88 (4),
266772,ranga519,0.88 (4),
264435,DanishMadhavan,0.88 (4),
264317,Maximfishman,0.88 (4),
264230,polsktrakt,0.88 (4),
264197,gzotov,0.88 (4),
267558,tonyglebg,0.87 (5),
267454,vkusnayaBebra,0.87 (5),
267173,arina,0.87 (5),
266354,Kukarkins,0.87 (5),
266213,AyyJimmeh,0.87 (5),
266042,Eliray,0.87 (5),
264494,bavasilev,0.87 (5),
264476,VeipsFil,0.87 (5),
264447,aaruts,0.87 (5),
264335,troitskyyy,0.87 (5),
264251,marybnikova,0.87 (5),
264218,Gursoy_Efe,0.87 (5),
267543,EgorMozharov,0.86 (6),
266401,arted2,0.86 (6),
266027,ushakovsa,0.86 (6),
264261,Sharara_Nina,0.86 (6),
264110,Kobylkin_Kirill,0.86 (6),
264042,Liya,0.86 (6),
267445,dimignatiev,0.85 (7),
264364,alakeev,0.85 (7),
264306,skyman44,0.85 (7),
264162,xim0g,0.85 (7),
264459,mariannakouis,0.84 (8),
263976,imm_of,0.84 (8),
264282,dai_manki,0.62 (9),
267530,tooHappy,0.38 (10),
263733,avzaytsev_2,0.37 (11),
264464,yaxenia,0.00 (12),
