submission_pk,User,b'meanIoU',b'Accuracy',b'Clutter',b'Building',b'Road',b'Tree',b'Vegetation',b'Moving Car',b'Static Car',b'Human'
340013,stdcoutzrh,0.72 (1),0.88 (1),0.71 (1),0.90 (2),0.82 (2),0.82 (1),0.66 (1),0.77 (2),0.76 (2),0.33 (1),
222606,rssisu,0.70 (3),0.88 (2),0.70 (2),0.90 (1),0.82 (4),0.81 (2),0.65 (3),0.75 (4),0.68 (4),0.29 (8),
414269,satyawant,0.69 (5),0.88 (3),0.70 (3),0.89 (3),0.83 (1),0.81 (3),0.65 (4),0.75 (5),0.61 (5),0.26 (11),
443357,shaohong-wang,0.71 (2),0.87 (4),0.70 (4),0.89 (4),0.82 (3),0.80 (5),0.62 (12),0.78 (1),0.76 (1),0.32 (2),
490074,zhouwwwlin,0.70 (4),0.87 (5),0.69 (5),0.88 (5),0.81 (9),0.81 (4),0.66 (2),0.76 (3),0.69 (3),0.28 (9),
456706,QUST_DPJ_YAMI,0.67 (10),0.87 (6),0.68 (7),0.88 (7),0.81 (7),0.80 (6),0.64 (6),0.72 (10),0.56 (11),0.30 (5),
456753,QQT,0.68 (7),0.87 (7),0.68 (6),0.88 (6),0.81 (8),0.80 (8),0.63 (8),0.73 (7),0.58 (9),0.30 (6),
410795,wangyl,0.68 (6),0.86 (8),0.67 (8),0.87 (8),0.81 (10),0.80 (7),0.63 (7),0.74 (6),0.60 (8),0.31 (3),
449155,zhongyas,0.68 (8),0.86 (9),0.67 (9),0.87 (10),0.81 (6),0.80 (11),0.63 (9),0.72 (11),0.60 (7),0.30 (7),
446183,hty,0.68 (9),0.86 (10),0.67 (10),0.87 (11),0.81 (11),0.80 (10),0.64 (5),0.73 (9),0.61 (6),0.30 (4),
476861,wenlu,0.66 (12),0.86 (11),0.66 (12),0.85 (12),0.81 (5),0.80 (9),0.63 (11),0.73 (8),0.52 (12),0.24 (12),
196131,DandriDeng,0.66 (11),0.86 (12),0.67 (11),0.87 (9),0.79 (12),0.79 (12),0.63 (10),0.72 (12),0.58 (10),0.24 (13),
396557,skydragon,0.46 (13),0.65 (13),0.42 (13),0.52 (13),0.18 (13),0.60 (13),0.55 (13),0.69 (13),0.47 (13),0.28 (10),
